symbol,company_name,price,change,perc_change,volume
OMER,Omeros Corp. ,10.42,6.32,154.15,123.1M
SLNH,Soluna Holdings Inc. ,4.29,1.5,53.76,45.1M
VERI,Veritone Inc. ,8.39,2.93,53.66,46.3M
SDOT,Sadot Group Inc. ,7.72,2.53,48.75,19.9M
RKDA,Arcadia Biosciences Inc. ,5.45,1.76,47.7,20.9M
SOGP,Sound Group Inc. ADR ,19.05,5.88,44.59,2.3M
FOSL,Fossil Group Inc. ,3.75,1.1,41.51,12.6M
EVAX,Evaxion A/S ADR ,11.01,3.17,40.43,2.7M
IRBT,iRobot Corp. ,5.37,1.44,36.64,25.4M
SANA,Sana Biotechnology Inc. ,5.92,1.47,33.03,35.1M
TE,T1 Energy Inc. ,5.22,1.22,30.3,27.4M
BTDR,Bitdeer Technologies Group ,25.9,5.78,28.73,32.4M
ABSI,Absci Corp. ,5.0,1.1,28.21,16.6M
SHMD,SCHMID Group N.V. ,4.0,0.87,27.8,345.8K
TGEN,Tecogen Inc. ,12.01,2.48,26.02,2.7M
BZAI,Blaize Holdings Inc. ,6.29,1.28,25.55,14.5M
IBG,Innovation Beverage Group Ltd. ,4.03,0.81,25.16,23.2M
SPRC,SciSparc Ltd. ,4.29,0.84,24.35,2.2M
QSI,Quantum-Si Inc. ,2.63,0.48,22.33,52.7M
NVTS,Navitas Semiconductor Corp. ,15.21,2.64,21.03,146.8M
EDAP,EDAP TMS S.A. ADR ,2.58,0.44,20.56,418.2K
TCGL,TechCreate Group Ltd. ,4.82,0.82,20.5,2.4M
AIRJ,AirJoule Technologies Corp. ,6.59,1.11,20.26,1.0M
BETR,Better Home & Finance Holding Co. ,59.87,9.95,19.93,887.5K
EUDA,EUDA Health Holdings Ltd. ,3.89,0.63,19.33,104.3K
KOD,Kodiak Sciences Inc. ,14.88,2.4,19.23,1.1M
MVST,Microvast Holdings Inc. ,6.25,1.0,19.05,19.4M
WATT,Energous Corp. ,8.9,1.39,18.51,214.4K
HI,Hillenbrand Inc. ,31.32,4.83,18.23,30.8M
OCC,Optical Cable Corp. ,10.1,1.51,17.58,105.3K
ASM,Avino Silver & Gold Mines Ltd. ,6.5,0.96,17.42,11.2M
ABVE,Above Food Ingredients Inc. ,5.06,0.74,17.13,5.2M
SMR,NuScale Power Corp. ,53.44,7.66,16.72,57.2M
CRBU,Caribou Biosciences Inc. ,2.84,0.4,16.39,2.0M
HIMS,Hims & Hers Health Inc. ,62.82,8.8,16.29,49.2M
MAMK,MaxsMaking Inc. ,2.9,0.4,16.0,103.0K
IMNM,Immunome Inc. ,16.35,2.25,15.96,2.1M
FLNC,Fluence Energy Inc. ,21.39,2.94,15.94,18.7M
AAOI,Applied Optoelectronics Inc. ,32.95,4.47,15.7,6.7M
ZGM,Zenta Group Co. Ltd. ,3.47,0.47,15.67,1.5M
RXRX,Recursion Pharmaceuticals Inc. ,6.79,0.9,15.28,175.6M
SPAI,Safe Pro Group Inc. ,7.98,1.05,15.15,586.3K
NUKK,Nukkleus Inc. ,13.11,1.72,15.1,3.4M
BWEN,Broadwind Inc. ,2.63,0.34,14.85,766.1K
SHFS,SHF Holdings Inc. ,4.28,0.54,14.44,145.4K
GSIT,GSI Technology Inc. ,5.31,0.66,14.19,589.2K
FF,FutureFuel Corp. ,4.38,0.55,14.19,742.0K
XERS,Xeris Biopharma Holdings Inc. ,9.27,1.15,14.16,5.7M
ICHR,Ichor Holdings Ltd. ,23.3,2.88,14.1,1.5M
WTTR,Select Water Solutions Inc. ,11.51,1.41,13.96,3.2M
VNCE,Vince Holding Corp. ,3.2,0.38,13.48,162.3K
ARRY,Array Technologies Inc. ,10.29,1.22,13.45,11.3M
XNCR,Xencor Inc. ,14.1,1.67,13.44,1.5M
SNDK,Sandisk Corp. ,144.3,17.01,13.36,8.5M
PYXS,Pyxis Oncology Inc. ,3.66,0.43,13.31,907.3K
EDIT,Editas Medicine Inc. ,4.06,0.47,13.09,5.1M
BG,Bunge Global S.A. ,93.11,10.7,12.98,4.2M
NRIX,Nurix Therapeutics Inc. ,10.35,1.17,12.75,1.4M
DNA,Ginkgo Bioworks Holdings Inc. ,15.82,1.74,12.31,1.7M
ZVRA,Zevra Therapeutics Inc. ,11.78,1.29,12.3,4.9M
KRRO,Korro Bio Inc. ,51.36,5.58,12.19,409.4K
WW,WW International Inc. ,29.14,3.14,12.08,443.9K
CEPU,Central Puerto S.A. ADR ,9.91,1.06,12.03,1.0M
HSDT,Solana Co. ,15.92,1.69,11.88,941.9K
SES,SES AI Corp. ,3.54,0.38,11.83,53.9M
IZEA,IZEA Worldwide Inc. ,5.7,0.6,11.76,503.6K
CGEM,Cullinan Therapeutics Inc. ,8.63,0.89,11.5,1.4M
AMBO,Ambow Education Holding Ltd. ADR ,5.16,0.53,11.45,77.2K
VPG,Vishay Precision Group Inc. ,36.97,3.79,11.44,248.6K
AMLX,Amylyx Pharmaceuticals Inc. ,15.79,1.6,11.28,3.3M
UROY,Uranium Royalty Corp. ,4.75,0.48,11.24,14.8M
EU,enCore Energy Corp. ,4.07,0.41,11.2,13.2M
DTIL,Precision Biosciences Inc. ,6.5,0.65,11.11,265.6K
SNTI,Senti Biosciences Inc. ,2.31,0.23,11.06,826.5K
APPS,Digital Turbine Inc. ,7.28,0.72,10.98,3.8M
FULC,Fulcrum Therapeutics Inc. ,9.64,0.95,10.93,524.1K
FMST,Foremost Clean Energy Ltd. ,4.3,0.42,10.82,2.0M
GYRE,Gyre Therapeutics Inc. ,8.87,0.86,10.74,176.7K
PESI,Perma-Fix Environmental Services Inc. ,12.28,1.18,10.63,442.7K
EDU,New Oriental Education & Technology Group Inc. ADR ,58.46,5.58,10.55,2.3M
BRLS,Borealis Foods Inc. Cl A ,3.37,0.32,10.49,66.0K
AMPX,Amprius Technologies Inc. ,14.63,1.38,10.42,17.7M
BDTX,Black Diamond Therapeutics Inc. ,4.15,0.39,10.37,813.9K
DAWN,Day One Biopharmaceuticals Inc. ,7.78,0.73,10.35,1.4M
PGEN,Precigen Inc. ,3.53,0.33,10.31,5.6M
CDT,CDT Equity Inc. ,4.18,0.39,10.29,284.9K
IVA,Inventiva S.A. ADR ,5.47,0.51,10.28,263.1K
MRM,MEDIROM Healthcare Technologies Inc. ADR ,2.37,0.22,10.23,706.5K
NRXS,Neuraxis Inc. ,3.34,0.31,10.23,230.1K
SLRX,Salarius Pharmaceuticals Inc. ,4.6,0.42,10.18,309.3K
PRQR,ProQR Therapeutics N.V. ,2.71,0.25,10.16,718.4K
NKTX,Nkarta Inc. ,2.63,0.24,10.04,1.6M
LOCL,Local Bounti Corp. ,3.41,0.31,10.0,110.1K
LEU,Centrus Energy Corp. ,435.7,39.53,9.98,1.9M
TYRA,Tyra Biosciences Inc. ,15.3,1.38,9.91,317.8K
JANX,Janux Therapeutics Inc. ,28.28,2.55,9.91,1.9M
CMPX,Compass Therapeutics Inc. ,4.77,0.43,9.91,2.1M
CCCC,C4 Therapeutics Inc. ,2.22,0.2,9.9,1.4M
BITF,Bitfarms Ltd. ,6.47,0.58,9.85,163.6M
ADPT,Adaptive Biotechnologies Corp. ,17.11,1.53,9.82,2.1M
