company_name,price,change,perc_change,volume
Brookfield Renewable Corporation,38.07,2.23,6.22,1.5M
Scholar Rock Holding Corporation,39.80,2.33,6.22,2.3M
"Globalstar, Inc.",44.74,2.61,6.2,2.2M
Bullish,68.79,3.98,6.14,4.2M
"Travere Therapeutics, Inc.",26.13,1.49,6.05,2.3M
First Majestic Silver Corp.,12.84,0.73,6.03,25.8M
"Impinj, Inc.",196.13,10.94,5.91,0.462346M
NewAmsterdam Pharma Company N.V.,32.48,1.81,5.9,2.1M
"SharpLink Gaming, Inc.",19.24,1.06,5.83,17.1M
"AAON, Inc.",103.85,5.53,5.62,1.4M
"Tesla, Inc.",453.25,23.42,5.45,83.9M
"Monolithic Power Systems, Inc.",968.10,49.27,5.36,0.647127M
"RXO, Inc.",17.51,0.87,5.23,2.1M
"Super Micro Computer, Inc.",54.62,2.66,5.12,40.2M
B2Gold Corp.,5.33,0.25,4.92,58.4M
Hecla Mining Company,12.47,0.57,4.79,18.9M
"Confluent, Inc.",21.26,0.96,4.73,9.5M
"Solaris Energy Infrastructure, Inc.",46.75,2.11,4.73,1.6M
"Sonos, Inc.",17.81,0.8,4.7,2.2M
Full Truck Alliance Co. Ltd.,14.00,0.62,4.63,13.5M
"AeroVironment, Inc.",391.88,17.24,4.6,1.8M
NuScale Power Corporation,41.94,1.82,4.54,18.1M
"Patterson-UTI Energy, Inc.",5.81,0.25,4.5,10.8M
Knight-Swift Transportation Holdings Inc.,43.26,1.85,4.47,5.1M
Applied Digital Corporation,27.71,1.18,4.45,27.8M
"SoFi Technologies, Inc.",26.36,1.12,4.44,96.8M
Cipher Mining Inc.,15.34,0.64,4.35,45.4M
Albemarle Corporation,92.03,3.81,4.32,3.4M
Modine Manufacturing Company,153.92,6.31,4.27,0.75308M
"IES Holdings, Inc.",399.38,16.36,4.27,0.104074M
"Hims & Hers Health, Inc.",54.76,2.22,4.23,27.0M
"Kratos Defense & Security Solutions, Inc.",100.25,4.06,4.22,5.0M
TMC the metals company Inc.,7.72,0.31,4.18,11.3M
IPG Photonics Corporation,88.19,3.53,4.17,0.277788M
Rocket Lab Corporation,58.50,2.34,4.17,26.0M
"Banc of California, Inc.",17.81,0.71,4.15,8.1M
"Rigetti Computing, Inc.",41.71,1.65,4.12,110.3M
"Amkor Technology, Inc.",30.57,1.19,4.05,2.3M
Humana Inc.,295.20,11.48,4.05,2.4M
DRDGOLD Limited,29.78,1.15,4.02,0.677124M
"Saia, Inc.",309.28,11.86,3.99,0.605977M
"Pure Storage, Inc.",90.33,3.45,3.97,2.9M
MP Materials Corp.,74.33,2.83,3.96,10.2M
Sony Group Corporation,30.10,1.14,3.94,6.4M
"Tarsus Pharmaceuticals, Inc.",67.71,2.55,3.91,1.1M
Skeena Resources Limited,18.14,0.68,3.89,1.8M
"DoorDash, Inc.",281.74,10.52,3.88,3.7M
Klarna Group plc,42.26,1.57,3.86,4.6M
"XPO, Inc.",133.45,4.95,3.85,1.2M
"Miami International Holdings, Inc.",43.71,1.62,3.85,0.488513M
"Arrowhead Pharmaceuticals, Inc.",37.50,1.38,3.82,2.6M
Teradata Corporation,23.02,0.84,3.79,2.7M
"Agilysys, Inc.",108.77,3.93,3.75,0.231141M
Grab Holdings Limited,6.39,0.23,3.73,50.7M
Palantir Technologies Inc.,179.53,6.46,3.73,52.3M
Centrus Energy Corp.,356.28,12.79,3.72,0.974582M
Innodata Inc.,87.26,3.13,3.72,1.5M
"OneStream, Inc.",19.19,0.68,3.7,1.6M
NexGen Energy Ltd.,9.04,0.32,3.67,17.6M
Kanzhun Limited,24.33,0.86,3.66,3.7M
"Datadog, Inc.",157.36,5.54,3.65,4.7M
"Uber Technologies, Inc.",100.10,3.5,3.62,22.4M
CRISPR Therapeutics AG,70.19,2.45,3.62,2.5M
Aris Mining Corporation,10.41,0.36,3.58,0.696442M
Dell Technologies Inc.,145.76,5.02,3.57,9.9M
"DocuSign, Inc.",72.17,2.44,3.5,5.4M
Taiwan Semiconductor Manufacturing Company Limited,302.40,10.21,3.49,14.9M
"Americold Realty Trust, Inc.",13.44,0.45,3.46,14.4M
KLA Corporation,"1,139.71",38.16,3.46,0.945706M
"MACOM Technology Solutions Holdings, Inc.",131.71,4.3,3.37,0.990582M
Zeta Global Holdings Corp.,19.98,0.65,3.36,7.9M
Summit Therapeutics Inc.,22.15,0.72,3.36,1.7M
EverCommerce Inc.,11.40,0.37,3.35,0.20306M
Formula One Group,108.33,3.5,3.34,1.3M
Ascendis Pharma A/S,210.83,6.78,3.32,0.841001M
Brookfield Renewable Partners L.P.,27.40,0.88,3.32,0.968849M
IAMGOLD Corporation,13.72,0.44,3.31,15.5M
"BridgeBio Pharma, Inc.",54.61,1.75,3.31,1.3M
"Belite Bio, Inc",78.10,2.5,3.31,0.095765M
Hut 8 Corp.,41.42,1.32,3.29,5.4M
ABIVAX Société Anonyme,86.67,2.75,3.28,2.9M
"Bentley Systems, Incorporated",56.79,1.8,3.27,3.0M
"Coeur Mining, Inc.",19.34,0.61,3.26,11.7M
"Caris Life Sciences, Inc.",32.81,1.03,3.24,0.897417M
NIQ Global Intelligence plc,15.25,0.47,3.18,0.942038M
Yelp Inc.,32.82,1.01,3.18,1.1M
"GXO Logistics, Inc.",55.43,1.7,3.16,0.880963M
Snowflake Inc.,242.52,7.43,3.16,4.7M
"Kulicke and Soffa Industries, Inc.",41.61,1.27,3.15,0.44836M
"Marvell Technology, Inc.",88.92,2.7,3.13,20.1M
"Ramaco Resources, Inc.",38.93,1.18,3.13,3.1M
Alvotech,8.58,0.26,3.12,0.330486M
Texas Pacific Land Corporation,975.40,29.51,3.12,0.134537M
Webster Financial Corporation,61.45,1.84,3.09,1.8M
"The Trade Desk, Inc.",53.14,1.59,3.08,12.5M
Formula One Group,99.33,2.95,3.06,0.166591M
"The Bancorp, Inc.",78.45,2.31,3.03,0.64267M
WeRide Inc.,11.30,0.33,3.01,8.1M
"Oscar Health, Inc.",22.31,0.65,3.0,17.9M
