company_name,price,change,perc_change,volume
Eightco Holdings Inc.,11.07,2.83,34.34,7.7M
"Advanced Micro Devices, Inc.",203.71,39.04,23.71,247.3M
Sanmina Corporation,140.00,25.92,22.72,4.4M
Mercurity Fintech Holding Inc.,35.79,6.38,21.69,0.725281M
"Applied Optoelectronics, Inc.",33.79,5.86,20.98,10.7M
NANO Nuclear Energy Inc.,53.63,9.14,20.54,8.8M
Diginex Limited,19.80,3.33,20.22,0.847859M
Archer Aviation Inc.,13.64,2.07,17.89,148.2M
IREN Limited,57.75,7.29,14.45,40.8M
Opendoor Technologies Inc.,9.28,1.17,14.43,284.6M
Comerica Incorporated,80.20,9.65,13.68,23.1M
"Forward Industries, Inc.",25.43,2.9,12.87,0.479631M
UiPath Inc.,14.52,1.62,12.56,58.7M
Orla Mining Ltd.,11.54,1.28,12.48,4.5M
"Voyager Technologies, Inc.",35.62,3.93,12.4,1.5M
"Bitmine Immersion Technologies, Inc.",63.22,6.57,11.6,64.1M
"Riot Platforms, Inc.",21.56,2.12,10.91,39.9M
"Fluence Energy, Inc.",15.26,1.47,10.66,9.5M
"Eos Energy Enterprises, Inc.",13.86,1.26,10.0,35.0M
"Astera Labs, Inc.",220.81,20.07,10.0,8.6M
"CleanSpark, Inc.",17.43,1.49,9.35,36.4M
"MARA Holdings, Inc.",20.57,1.75,9.3,72.1M
"Lumen Technologies, Inc.",7.16,0.6,9.15,21.5M
Oklo Inc.,138.56,11.2,8.79,25.5M
Enovix Corporation,12.96,1.04,8.72,9.2M
"Viking Therapeutics, Inc.",32.28,2.56,8.61,7.2M
"PureCycle Technologies, Inc.",14.74,1.15,8.46,5.2M
Jyong Biotech Ltd.,52.01,4.01,8.35,0.252815M
"Figure Technology Solutions, Inc.",43.59,3.29,8.16,2.8M
Perpetua Resources Corp.,23.58,1.74,7.97,5.1M
"IonQ, Inc.",78.99,5.71,7.79,36.1M
"AST SpaceMobile, Inc.",72.90,5.14,7.59,16.1M
Bitdeer Technologies Group,20.89,1.47,7.57,7.9M
Ondas Holdings Inc.,10.66,0.75,7.57,81.6M
Symbotic Inc.,67.84,4.74,7.51,2.3M
Galaxy Digital,38.84,2.68,7.41,8.0M
"Figma, Inc.",56.96,3.92,7.39,27.2M
"FormFactor, Inc.",42.57,2.88,7.26,1.5M
"Joby Aviation, Inc.",19.57,1.31,7.17,30.9M
D-Wave Quantum Inc.,35.02,2.32,7.09,72.0M
"Asana, Inc.",14.60,0.95,6.96,6.5M
"BigBear.ai Holdings, Inc.",7.69,0.5,6.95,129.8M
Iridium Communications Inc.,20.02,1.26,6.72,3.1M
"Clearway Energy, Inc.",32.36,2.02,6.66,1.5M
Twilio Inc.,109.70,6.76,6.57,4.3M
"Clearway Energy, Inc.",30.46,1.87,6.54,0.415186M
"Cytokinetics, Incorporated",60.64,3.67,6.44,3.0M
Firefly Aerospace Inc.,29.09,1.72,6.28,4.9M
