symbol,company_name,price,change,perc_change,volume
STI,Solidion Technology Inc. ,21.62,16.14,293.9,101.0M
GWH,ESS Tech Inc. ,9.05,4.89,117.55,162.6M
AQMS,Aqua Metals Inc. ,9.91,4.25,75.09,26.1M
GTI,Graphjet Technology ,6.03,2.16,55.81,2.2M
CRML,Critical Metals Corp. ,23.28,8.3,55.41,68.0M
NMG,Nouveau Monde Graphite Inc. ,5.07,1.73,51.8,8.2M
BLBX,Blackboxstocks Inc. ,12.18,4.03,49.45,5.2M
PMAX,Powell Max Ltd. ,3.75,1.16,44.79,25.7M
CHNR,China Natural Resources Inc. ,7.17,2.19,44.06,16.8M
ELWS,Earlyworks Co. Ltd. ADR ,3.79,1.09,40.37,321.8K
SOAR,Volato Group Inc. ,3.46,0.97,38.96,4.5M
FOFO,Hang Feng Technology Innovation Co. Ltd. ,16.22,4.52,38.63,350.2K
TAOX,Tao Synergies Inc. ,9.54,2.65,38.46,726.3K
UAMY,United States Antimony Corp. ,16.71,4.5,36.86,45.9M
ABAT,American Battery Technology Co. ,9.22,2.47,36.59,45.6M
SDST,Stardust Power Inc. ,5.14,1.29,33.51,1.4M
IPDN,Professional Diversity Network Inc. ,3.95,0.99,33.45,1.5M
LITM,Snow Lake Resources Ltd. ,5.94,1.46,32.59,20.4M
NAMM,Namib Minerals ,4.17,1.01,31.96,24.8M
NUKK,Nukkleus Inc. ,10.49,2.53,31.78,3.1M
ASPI,ASP Isotopes Inc. ,13.32,3.19,31.49,25.1M
NAK,Northern Dynasty Minerals Ltd. ,2.66,0.63,31.03,54.3M
ADN,Advent Technologies Holdings Inc. ,3.76,0.89,31.01,508.1K
PSIG,PS International Group Ltd. ,4.75,1.09,29.64,650.8K
NBTX,Nanobiotix S.A. ADR ,30.31,6.71,28.43,175.8K
BITF,Bitfarms Ltd. ,5.39,1.19,28.33,158.0M
HOVR,New Horizon Aircraft Ltd. ,3.67,0.8,27.87,2.9M
CVV,CVD Equipment Corp. ,4.03,0.87,27.53,160.2K
NVA,Nova Minerals Ltd. ADR ,34.16,7.25,26.94,547.5K
BE,Bloom Energy Corp. ,109.91,23.04,26.52,28.7M
BRLT,Brilliant Earth Group Inc. Cl A ,2.67,0.55,25.94,415.1K
NDRA,ENDRA Life Sciences Inc. ,8.12,1.64,25.31,13.8M
RGTI,Rigetti Computing Inc. ,54.91,10.99,25.02,181.2M
SEGG,Lottery.com Inc. ,4.65,0.93,24.83,282.0K
POWI,Power Integrations Inc. ,43.15,8.51,24.57,7.3M
UUU,Universal Safety Products Inc. ,5.43,1.05,23.97,326.2K
YQ,17 Education & Technology Group Inc. ADR ,4.99,0.96,23.82,58.2K
OMEX,Odyssey Marine Exploration Inc. ,3.49,0.67,23.76,6.0M
EOSE,Eos Energy Enterprises Inc. ,17.05,3.23,23.37,42.0M
QBTS,D-Wave Quantum Inc. ,40.62,7.6,23.02,89.1M
AREC,American Resources Corp. ,4.98,0.9,22.06,26.0M
BBAI,BigBear.ai Holdings Inc. ,8.81,1.59,22.02,211.8M
LTBR,Lightbridge Corp. ,26.91,4.83,21.88,4.0M
WTI,W&T Offshore Inc. ,2.52,0.45,21.74,10.7M
VELO,Velo3D Inc. ,5.41,0.96,21.57,1.8M
FLNC,Fluence Energy Inc. ,15.89,2.8,21.39,10.2M
IMAB,I-Mab ADR ,5.79,1.02,21.38,4.6M
MP,MP Materials Corp. ,95.06,16.72,21.34,50.2M
LAR,Lithium Argentina AG ,5.42,0.95,21.25,7.5M
