symbol,company_name,price,change,perc_change,volume
ARTV,Artiva Biotherapeutics Inc. ,6.01,3.24,116.96,63.8M
VHC,VirnetX Holding Corp. ,25.79,8.79,51.71,2.0M
KZR,Kezar Life Sciences Inc. ,6.13,1.96,47.01,4.5M
CREV,Carbon Revolution PLC ,4.92,1.2,32.11,24.0M
ACHV,Achieve Life Sciences Inc. ,4.03,0.95,30.99,13.3M
SGHT,Sight Sciences Inc. ,4.37,0.92,26.7,952.3K
REKR,Rekor Systems Inc. ,3.19,0.59,22.52,17.3M
IRON,Disc Medicine Inc. ,90.94,16.58,22.3,1.6M
APLM,Apollomics Inc. ,38.99,7.01,21.92,99.8K
LFS,LEIFRAS Co. Ltd. ADR ,4.14,0.74,21.76,203.1K
LBRT,Liberty Energy Inc. ,14.5,2.56,21.48,13.1M
AKA,a.k.a. Brands Holding Corp. ,15.55,2.69,20.92,60.8K
DGXX,Digi Power X Inc. ,4.16,0.59,16.53,4.8M
GWH,ESS Tech Inc. ,5.3,0.75,16.43,26.2M
ELDN,Eledon Pharmaceuticals Inc. ,3.31,0.46,16.14,1.2M
QNRX,Quoin Pharmaceuticals Ltd. ADR ,15.72,2.18,16.1,103.2K
PRAX,Praxis Precision Medicines Inc. ,187.89,25.18,15.48,2.9M
AGH,Aureus Greenway Holdings Inc. ,5.78,0.78,15.47,250.3K
AKAN,Akanda Corp. ,2.57,0.34,15.25,14.4M
STI,Solidion Technology Inc. ,20.72,2.7,14.98,1.7M
NUAI,New Era Energy & Digital Inc. ,3.61,0.46,14.6,14.2M
OMEX,Odyssey Marine Exploration Inc. ,3.72,0.47,14.4,3.0M
SKIL,Skillsoft Corp. ,16.9,2.03,13.64,100.5K
SHMD,SCHMID Group N.V. ,4.11,0.48,13.22,51.8K
SIFY,Sify Technologies Ltd. ADR ,13.22,1.46,12.41,252.3K
INDP,Indaptus Therapeutics Inc. ,3.81,0.38,11.01,141.6K
SPAI,Safe Pro Group Inc. ,8.28,0.76,10.03,896.0K
RVMD,Revolution Medicines Inc. ,54.63,4.95,9.96,2.2M
SOPA,Society Pass Inc. ,2.76,0.24,9.72,282.6K
MGRT,Mega Fortune Co. Ltd. ,4.75,0.41,9.45,287.6K
PDEX,Pro-Dex Inc. ,26.1,2.19,9.18,151.0K
CISS,C3is Inc. ,2.26,0.19,9.06,1.8M
LAES,SEALSQ Corp. ,6.9,0.54,8.48,49.9M
KVUE,Kenvue Inc. ,15.29,1.18,8.34,28.9M
FIP,FTAI Infrastructure Inc. ,5.86,0.45,8.32,1.8M
NXGL,NexGel Inc. ,2.55,0.19,8.05,101.7K
NKLR,Terra Innovatum Global N.V. ,13.79,1.01,7.95,2.2M
ENTO,Entero Therapeutics Inc. ,5.26,0.38,7.67,159.3K
BTTC,Black Titan Corp. ,5.25,0.36,7.36,265.6K
BETR,Better Home & Finance Holding Co. ,61.69,4.08,7.08,316.4K
LHAI,Linkhome Holdings Inc. ,10.77,0.7,6.96,156.3K
NKTR,Nektar Therapeutics ,58.76,3.8,6.91,369.0K
IMDX,Insight Molecular Diagnostics Inc. ,4.94,0.32,6.81,69.8K
PUMP,ProPetro Holding Corp. ,5.46,0.34,6.74,964.5K
BTQ,BTQ Technologies Corp. ,11.91,0.75,6.72,6.0M
UOKA,MDJM Ltd. ,3.38,0.21,6.62,62.3K
PGEN,Precigen Inc. ,3.72,0.23,6.59,3.7M
ENGN,enGene Holdings Inc. ,9.38,0.57,6.53,193.9K
AGMH,AGM Group Holdings Inc. ,4.9,0.29,6.29,115.2K
SGBX,Safe & Green Holdings Corp. ,3.27,0.19,6.17,20.0M
AXP,American Express Co. ,343.0,19.88,6.15,3.2M
TCGL,TechCreate Group Ltd. ,4.36,0.25,6.08,51.0K
KEP,Korea Electric Power Corp. ADR ,15.22,0.85,5.92,319.3K
MFH,Mercurity Fintech Holding Inc. ,12.82,0.7,5.78,168.2K
OMI,Owens & Minor Inc. ,4.86,0.27,5.77,826.5K
NCMI,National CineMedia Inc. ,4.32,0.23,5.62,231.3K
IMMX,Immix Biopharma Inc. ,2.85,0.15,5.56,314.6K
APPF,AppFolio Inc. ,235.66,12.36,5.53,137.3K
NMG,Nouveau Monde Graphite Inc. ,3.46,0.18,5.49,1.3M
SNYR,Synergy CHC Corp. ,2.5,0.13,5.49,94.2K
GORV,Lazydays Holdings Inc. ,2.22,0.12,5.48,58.4K
BNZI,Banzai International Inc. ,2.9,0.15,5.44,127.5K
CVRX,CVRx Inc. ,10.02,0.52,5.42,164.4K
HROW,Harrow Inc. ,39.96,2.04,5.38,454.2K
PRM,Perimeter Solutions Inc. ,23.17,1.18,5.37,854.5K
INV,Innventure Inc. ,3.2,0.16,5.26,146.6K
ATAI,ATAI Life Sciences N.V. ,5.76,0.28,5.2,15.4M
HYPD,Hyperion DeFi Inc. ,7.16,0.35,5.14,322.7K
SLGB,Smart Logistics Global Ltd. ,3.7,0.18,5.11,64.1K
THH,TryHard Holdings Ltd. ,8.1,0.39,5.06,1.8M
JEF,Jefferies Financial Group Inc. ,51.2,2.4,4.93,4.3M
LUNR,Intuitive Machines Inc. Cl A ,12.41,0.58,4.9,5.1M
EBC,Eastern Bankshares Inc. ,18.06,0.83,4.85,2.1M
REFI,Chicago Atlantic Real Estate Finance Inc. ,13.05,0.6,4.82,151.6K
TKLF,Tokyo Lifestyle Co. Ltd. ADR ,3.39,0.15,4.79,72.8K
CNS,Cohen & Steers Inc. ,68.93,3.13,4.76,267.6K
HONE,HarborOne Bancorp ,13.48,0.61,4.74,343.2K
TLS,Telos Corp. ,7.08,0.32,4.65,392.3K
SLDP,Solid Power Inc. ,6.32,0.28,4.64,10.1M
SOAR,Volato Group Inc. ,2.84,0.12,4.41,678.7K
SPRU,Spruce Power Holding Corp. ,2.85,0.12,4.4,61.8K
EAF,GrafTech International Ltd. ,17.38,0.72,4.32,94.1K
VIRC,Virco Manufacturing Corp. ,7.29,0.29,4.14,53.1K
NRXP,NRX Pharmaceuticals Inc. ,3.16,0.13,4.11,1.1M
TFC,Truist Financial Corp. ,42.78,1.69,4.1,10.4M
BSLK,Bolt Projects Holdings Inc. ,2.9,0.11,4.09,114.6K
HDB,HDFC Bank Ltd. ADR ,36.88,1.44,4.05,1.9M
ANGX,Angel Studios Inc. ,7.08,0.28,4.04,314.2K
GILD,Gilead Sciences Inc. ,122.58,4.73,4.01,4.6M
FEAM,5E Advanced Materials Inc. ,6.22,0.24,4.01,158.9K
CREX,Creative Realities Inc. ,2.76,0.1,3.95,66.8K
ZGN,Ermenegildo Zegna N.V. ,10.38,0.39,3.85,480.0K
COF,Capital One Financial Corp. ,210.86,7.71,3.8,2.2M
PARR,Par Pacific Holdings Inc. ,35.34,1.28,3.77,376.4K
VERA,Vera Therapeutics Inc. ,31.66,1.15,3.77,482.2K
AGIO,Agios Pharmaceuticals Inc. ,43.08,1.56,3.76,292.2K
SSII,SS Innovations International Inc. ,9.0,0.32,3.69,64.0K
ZION,Zions Bancorp N.A. ,48.66,1.73,3.69,4.7M
SKY,Champion Homes Inc. ,73.45,2.61,3.68,473.9K
FLUX,Flux Power Holdings Inc. ,5.35,0.19,3.68,154.2K
