symbol,company_name,price,change,perc_change,volume
STI,Solidion Technology Inc. ,12.5,7.01,127.69,347.6K
NDRA,ENDRA Life Sciences Inc. ,9.3,2.82,43.52,53.2K
BE,Bloom Energy Corp. ,106.4,19.53,22.48,138.3K
NAMM,Namib Minerals ,3.78,0.62,19.62,80.1K
ABAT,American Battery Technology Co. ,8.04,1.28,19.04,653.7K
UUUU,Energy Fuels Inc. ,23.96,3.62,17.8,302.5K
NVX,Novonix Ltd. ADR ,3.45,0.51,17.19,452.1K
USAR,USA Rare Earth Inc. ,38.0,5.39,16.53,748.0K
UAMY,United States Antimony Corp. ,14.21,2.0,16.38,228.1K
CRML,Critical Metals Corp. ,17.29,2.31,15.42,520.1K
VERU,Veru Inc. ,4.44,0.51,12.98,76.7K
HOND,HCM II Acquisition Corp. Cl A ,21.3,2.44,12.92,55.5K
TMQ,Trilogy Metals Inc. ,6.68,0.75,12.65,106.7K
LAES,SEALSQ Corp. ,6.01,0.6,11.05,424.4K
AXTI,AXT Inc. ,4.47,0.44,10.94,127.5K
SLDP,Solid Power Inc. ,6.49,0.63,10.75,322.4K
SNDK,Sandisk Corp. ,128.91,12.0,10.26,119.8K
EOSE,Eos Energy Enterprises Inc. ,15.16,1.34,9.73,659.4K
VNET,VNET Group Inc. ADR ,9.33,0.82,9.64,138.0K
ONDS,Ondas Holdings Inc. ,10.1,0.88,9.57,703.7K
ASPI,ASP Isotopes Inc. ,11.1,0.96,9.53,199.5K
BITF,Bitfarms Ltd. ,4.59,0.39,9.31,2.1M
BTQ,BTQ Technologies Corp. ,11.06,0.94,9.26,123.8K
FLNC,Fluence Energy Inc. ,14.3,1.21,9.21,140.0K
PLUG,Plug Power Inc. ,3.72,0.3,8.77,1.7M
BLNK,Blink Charging Co. ,2.19,0.17,8.66,155.8K
UEC,Uranium Energy Corp. ,15.89,1.24,8.46,110.3K
ALM,Almonty Industries Inc. ,8.4,0.65,8.39,66.0K
USAS,Americas Gold & Silver Corp. ,4.47,0.34,8.23,53.8K
NAK,Northern Dynasty Minerals Ltd. ,2.19,0.16,7.88,81.9K
INOD,Innodata Inc. ,89.82,6.54,7.85,62.4K
AVGO,Broadcom Inc. ,349.98,25.35,7.81,734.8K
SBSW,Sibanye-Stillwater Ltd. ADR ,11.8,0.85,7.77,70.1K
HL,Hecla Mining Co. ,13.51,0.97,7.74,65.6K
APLD,Applied Digital Corp. ,36.6,2.61,7.68,792.1K
RKLB,Rocket Lab Corp. ,69.14,4.88,7.59,349.3K
FCEL,FuelCell Energy Inc. ,9.95,0.69,7.45,180.3K
CCCX,Churchill Capital Corp. X Cl A ,24.05,1.64,7.32,109.1K
FUTU,Futu Holdings Ltd. ADR ,165.84,11.23,7.27,148.6K
AMPX,Amprius Technologies Inc. ,12.73,0.8,6.71,259.3K
OKLO,Oklo Inc. ,157.02,9.87,6.7,63.0K
DNN,Denison Mines Corp. ,3.07,0.19,6.6,230.4K
EXK,Endeavour Silver Corp. ,8.16,0.51,6.59,60.1K
RGTI,Rigetti Computing Inc. ,46.76,2.84,6.46,862.4K
