company_name,price,change,perc_change,volume
"Praxis Precision Medicines, Inc.",192.86,30.15,18.53,0.362923M
"J.B. Hunt Transport Services, Inc.",168.10,-1.47,-0.87,0.065145M
"GRAIL, Inc.",83.83,-2.58,-2.99,0.089774M
GitLab Inc.,47.29,-0.98,-2.03,0.418221M
"Belite Bio, Inc",90.80,1.73,1.94,0.011506M
Kyivstar Group Ltd.,13.37,-0.56,-4.02,0.309533M
Hecla Mining Company,14.66,-0.57,-3.76,1.2M
TFI International Inc.,94.72,-0.63,-0.66,0.002083M
Endeavour Silver Corp.,9.75,-0.4,-3.9,0.907067M
"Banco Bilbao Vizcaya Argentaria, S.A.",19.63,0.15,0.75,0.260571M
Gold Fields Limited,44.71,-1.91,-4.1,0.194888M
VEON Ltd.,53.52,-1.43,-2.6,0.008496M
Knight-Swift Transportation Holdings Inc.,46.91,-0.14,-0.3,0.018376M
Sibanye Stillwater Limited,12.14,-0.68,-5.27,0.854423M
"Hub Group, Inc.",36.50,-0.16,-0.44,0.013288M
"Certara, Inc.",12.22,-0.44,-3.44,0.012865M
Universal Display Corporation,149.01,-1.14,-0.76,0.004723M
Bruker Corporation,37.95,-0.25,-0.65,0.024029M
"Micron Technology, Inc.",197.82,-4.71,-2.33,1.9M
Vicor Corporation,59.35,-1.12,-1.85,0.008418M
"ASE Technology Holding Co., Ltd.",12.74,0.16,1.31,0.392564M
ON Semiconductor Corporation,52.62,-0.35,-0.65,0.378672M
"Coca-Cola FEMSA, S.A.B. de C.V.",85.15,-0.46,-0.53,0.002428M
"Sarepta Therapeutics, Inc.",22.72,-0.62,-2.67,0.149752M
"Guardant Health, Inc.",66.80,-0.67,-0.99,0.033108M
DRDGOLD Limited,30.57,-1.15,-3.63,0.065705M
"Avantor, Inc.",14.56,0.0,0.01,0.092158M
Coherent Corp.,113.93,-2.01,-1.73,0.063984M
Newmont Corporation,95.21,-3.04,-3.09,1.2M
Celcuity Inc.,50.66,-1.87,-3.55,0.010822M
Brown-Forman Corporation,28.35,1.32,4.88,0.003405M
"Fomento Económico Mexicano, S.A.B. de C.V.",95.37,4.36,4.79,0.001127M
Enerpac Tool Group Corp.,42.04,-0.21,-0.49,0.014157M
Compañía de Minas Buenaventura S.A.A.,25.83,-0.92,-3.46,0.02982M
B2Gold Corp.,5.84,-0.09,-1.6,1.6M
"América Móvil, S.A.B. de C.V.",22.32,-0.23,-1.0,0.016168M
Western Digital Corporation,123.89,-2.03,-1.61,0.331393M
AngloGold Ashanti plc,76.27,-2.3,-2.93,0.098751M
Mettler-Toledo International Inc.,"1,359.61",55.61,4.26,0.004716M
Lumentum Holdings Inc.,160.50,-2.73,-1.67,0.031385M
Brown-Forman Corporation,28.38,0.1,0.35,0.07927M
"Schneider National, Inc.",23.64,0.03,0.15,0.00672M
"Freshpet, Inc.",53.56,-0.09,-0.17,0.009239M
"The Cooper Companies, Inc.",71.06,-0.5,-0.7,0.043001M
Fermi Inc.,28.48,-1.18,-3.98,0.153696M
Alamos Gold Inc.,36.10,-1.38,-3.68,0.168627M
"Salesforce, Inc.",245.61,-0.42,-0.17,0.586736M
Seabridge Gold Inc.,28.02,-0.94,-3.25,0.01928M
Credo Technology Group Holding Ltd,132.40,-4.13,-3.03,0.304807M
KT Corporation,19.22,0.72,3.89,0.011666M
Agnico Eagle Mines Limited,180.59,-4.91,-2.65,0.119992M
"Coeur Mining, Inc.",22.39,-0.71,-3.07,1.0M
Celestica Inc.,273.92,-6.18,-2.2,0.131426M
Diageo plc,97.24,1.13,1.17,0.140875M
"Watsco, Inc.",368.00,-1.37,-0.37,0.002479M
Fabrinet,412.50,0.09,0.02,0.025976M
OR Royalties Inc.,39.20,-0.84,-2.11,0.020961M
Harmony Gold Mining Company Limited,21.10,-0.81,-3.7,0.195995M
"Landstar System, Inc.",131.39,0.55,0.42,0.002184M
Snap-on Incorporated,344.17,11.58,3.48,0.014032M
Corcept Therapeutics Incorporated,78.63,-0.84,-1.06,0.010909M
"Ramaco Resources, Inc.",44.41,-5.07,-10.22,0.2443M
Bio-Techne Corporation,61.59,-0.01,-0.02,0.046466M
Repligen Corporation,152.88,-1.67,-1.08,0.005457M
"The Vita Coco Company, Inc.",41.20,-0.07,-0.17,0.00969M
Six Flags Entertainment Corporation,21.38,0.1,0.49,0.039193M
"Illumina, Inc.",95.32,-0.59,-0.62,0.015863M
First Majestic Silver Corp.,14.80,-0.54,-3.55,1.8M
Ermenegildo Zegna N.V.,10.00,0.3,3.09,0.016287M
Oracle Corporation,300.08,-12.95,-4.14,2.0M
POSCO Holdings Inc.,51.30,0.34,0.67,0.008166M
"iRhythm Technologies, Inc.",180.40,-0.62,-0.34,0.006312M
Seagate Technology Holdings plc,221.06,-4.97,-2.2,0.138416M
