symbol,company_name,price,change,perc_change,volume
SPRB,Spruce Biosciences Inc. ,130.4,121.58,1378.46,24.9M
CRML,Critical Metals Corp. ,11.59,3.61,45.24,159.3M
IONR,Ioneer Ltd. ADR ,6.53,1.78,37.47,5.9M
ORBS,Eightco Holdings Inc. ,11.07,2.83,34.34,8.0M
SLDP,Solid Power Inc. ,5.77,1.45,33.56,55.1M
OMEX,Odyssey Marine Exploration Inc. ,2.66,0.65,32.34,8.6M
APDN,Applied DNA Sciences Inc. ,5.62,1.35,31.62,2.9M
FLUX,Flux Power Holdings Inc. ,4.9,1.17,31.37,1.3M
BTQ,BTQ Technologies Corp. ,9.1,2.16,31.12,9.8M
OMSE,OMS Energy Technologies Inc. ,4.31,1.0,30.21,146.6K
PMAX,Powell Max Ltd. ,2.99,0.68,29.64,392.3K
GSRTR,GSR III Acquisition Corp. Rt ,11.82,2.67,29.18,344.1K
BZAI,Blaize Holdings Inc. ,5.05,1.12,28.5,9.0M
EVAX,Evaxion A/S ADR ,6.95,1.52,27.99,1.4M
ARAI,Arrive AI Inc. ,4.98,1.08,27.69,1.7M
KOPN,Kopin Corp. ,3.57,0.75,26.6,18.4M
HIVE,HIVE Digital Technologies Ltd. ,5.57,1.12,25.17,72.9M
FCUV,Focus Universal Inc. ,4.26,0.85,25.11,194.7K
ORIC,Oric Pharmaceuticals Inc. ,14.41,2.85,24.6,3.7M
BMEA,Biomea Fusion Inc. ,2.67,0.52,24.19,14.4M
AMD,Advanced Micro Devices Inc. ,203.71,39.04,23.71,248.9M
AIP,Arteris Inc. ,13.58,2.6,23.68,4.4M
SLGL,Sol-Gel Technologies Ltd. ,42.9,8.1,23.28,80.7K
NIU,Niu Technologies ADR ,5.56,1.04,23.01,3.3M
SANM,Sanmina Corp. ,140.0,25.92,22.72,4.4M
DDC,DDC Enterprise Ltd. ,9.13,1.66,22.22,270.0K
MFH,Mercurity Fintech Holding Inc. ,35.79,6.38,21.69,731.8K
SMTK,SmartKem Inc. ,2.77,0.49,21.49,510.3K
AAOI,Applied Optoelectronics Inc. ,33.79,5.86,20.98,10.8M
KLRS,Kalaris Therapeutics Inc. ,8.03,1.39,20.93,524.7K
APYX,Apyx Medical Corp. ,2.89,0.5,20.92,327.4K
NNE,Nano Nuclear Energy Inc. ,53.63,9.14,20.54,8.8M
STEX,Streamex Corp. ,6.31,1.07,20.42,6.0M
TAOX,Tao Synergies Inc. ,7.71,1.3,20.28,338.7K
DGNX,Diginex Ltd. ,19.8,3.33,20.22,865.0K
GSRT,GSR III Acquisition Corp. ,12.32,2.05,19.96,6.9M
HSII,Heidrick & Struggles International Inc. ,58.22,9.54,19.6,1.9M
AISP,Airship AI Holdings Inc. Cl A ,6.98,1.14,19.52,5.0M
KSCP,Knightscope Inc. ,7.4,1.18,18.97,1.7M
EHTH,eHealth Inc. ,5.26,0.82,18.47,1.1M
MYSE,Myseum Inc. ,3.24,0.5,18.25,490.8K
YAAS,Youxin Technology Ltd. ,3.05,0.47,18.22,3.3M
HUMA,Humacyte Inc. ,2.48,0.38,18.1,11.2M
SES,SES AI Corp. ,2.43,0.37,17.96,28.2M
ACHR,Archer Aviation Inc. ,13.64,2.07,17.89,160.9M
RMCO,Royalty Management Holding Corp. ,2.87,0.43,17.62,252.3K
FMST,Foremost Clean Energy Ltd. ,3.5,0.52,17.45,1.4M
NYXH,Nyxoah S.A. ,5.8,0.85,17.17,164.6K
IMNM,Immunome Inc. ,14.41,2.03,16.4,2.8M
GRAN,Grande Group Ltd. Cl A ,3.73,0.52,16.2,1.3M
ELWS,Earlyworks Co. Ltd. ADR ,3.1,0.42,15.67,227.8K
BNC,CEA Industries Inc. ,9.4,1.27,15.62,2.7M
LYRA,Lyra Therapeutics Inc. ,8.09,1.09,15.57,313.8K
IDR,Idaho Strategic Resources Inc. ,40.36,5.33,15.22,1.1M
VFF,Village Farms International Inc. ,3.27,0.43,15.14,7.6M
NEGG,Newegg Commerce Inc. ,53.72,7.02,15.03,854.4K
BITF,Bitfarms Ltd. ,3.46,0.45,14.95,97.7M
EAF,GrafTech International Ltd. ,15.25,1.95,14.66,418.4K
IREN,IREN Ltd. ,57.75,7.29,14.45,42.0M
BEEM,Beam Global ,3.41,0.43,14.43,1.4M
