company_name,price,change,perc_change,volume
Bitdeer Technologies Group,25.93,0.03,0.12,0.71279M
Navitas Semiconductor Corporation,15.82,0.61,3.96,6.7M
"Microvast Holdings, Inc.",6.72,0.47,7.52,2.1M
"Hillenbrand, Inc.",31.27,-0.05,-0.16,1.1M
NuScale Power Corporation,56.56,3.12,5.83,2.3M
"Fluence Energy, Inc.",21.10,-0.34,-1.59,0.458335M
"Hims & Hers Health, Inc.",63.30,0.48,0.76,1.8M
"Applied Optoelectronics, Inc.",32.65,-0.3,-0.92,0.114219M
"Recursion Pharmaceuticals, Inc.",6.64,-0.15,-2.21,4.0M
Sandisk Corporation,145.29,0.99,0.69,0.254256M
Bunge Global SA,95.76,2.65,2.85,0.193824M
New Oriental Education & Technology Group Inc.,57.66,-0.74,-1.27,0.018624M
Centrus Energy Corp.,452.97,17.36,3.99,0.117321M
Adaptive Biotechnologies Corporation,17.05,-0.06,-0.35,0.038377M
Telix Pharmaceuticals Limited,11.20,0.19,1.73,0.002791M
"Advanced Micro Devices, Inc.",237.12,-1.48,-0.62,3.7M
Endeavour Silver Corp.,9.60,0.11,1.16,0.741671M
"GRAIL, Inc.",82.36,6.84,9.02,0.188116M
Celestica Inc.,287.02,17.05,6.32,0.250018M
Regencell Bioscience Holdings Limited,18.10,-0.66,-3.5,0.011061M
"Apellis Pharmaceuticals, Inc.",25.25,0.03,0.14,0.012846M
"First Solar, Inc.",241.19,-3.21,-1.31,0.062159M
"Intellia Therapeutics, Inc.",25.72,-0.21,-0.81,0.121321M
Harmony Gold Mining Company Limited,21.68,0.51,2.43,0.136596M
Celcuity Inc.,50.59,0.56,1.12,0.007927M
Allied Gold Corporation,19.76,-0.69,-3.37,0.040511M
"Kymera Therapeutics, Inc.",62.47,-0.42,-0.66,0.008026M
Hut 8 Corp.,53.78,-0.13,-0.24,0.260577M
Manchester United plc,18.00,-0.26,-1.44,0.019825M
Applied Digital Corporation,37.96,0.2,0.53,1.7M
First Majestic Silver Corp.,14.99,0.12,0.84,1.9M
SSR Mining Inc.,25.17,-0.24,-0.94,0.253275M
"Eos Energy Enterprises, Inc.",17.96,-0.32,-1.77,0.609922M
"SolarEdge Technologies, Inc.",40.16,-0.37,-0.91,0.070352M
"Cogent Biosciences, Inc.",16.40,-0.17,-1.03,0.06023M
Plexus Corp.,150.91,0.66,0.44,0.00408M
"DigitalOcean Holdings, Inc.",44.10,0.63,1.45,0.093597M
"Tarsus Pharmaceuticals, Inc.",75.64,0.69,0.92,0.003599M
Denali Therapeutics Inc.,16.50,0.19,1.16,0.008731M
Nextracker Inc.,91.94,-1.18,-1.27,0.147507M
"Dyne Therapeutics, Inc.",16.61,0.08,0.51,0.028336M
Beam Therapeutics Inc.,27.33,0.14,0.52,0.033852M
NewAmsterdam Pharma Company N.V.,39.50,-0.95,-2.35,0.041719M
Vicor Corporation,58.00,0.69,1.2,0.005721M
ACADIA Pharmaceuticals Inc.,21.85,0.11,0.51,0.01671M
"Apogee Therapeutics, Inc.",56.02,0.17,0.3,0.002686M
uniQure N.V.,62.84,0.01,0.02,0.037486M
Hecla Mining Company,14.16,-0.01,-0.05,0.657312M
Seabridge Gold Inc.,28.03,0.16,0.57,0.067206M
Corcept Therapeutics Incorporated,78.38,1.57,2.04,0.10713M
Western Digital Corporation,123.22,2.78,2.31,0.427481M
"Soleno Therapeutics, Inc.",67.06,-0.61,-0.9,0.007016M
Equinox Gold Corp.,12.61,0.01,0.04,0.269024M
NovaGold Resources Inc.,10.44,-0.06,-0.52,0.088978M
"Prologis, Inc.",123.71,0.95,0.77,0.059905M
"Ocular Therapeutix, Inc.",11.97,0.03,0.25,0.036689M
"Viking Therapeutics, Inc.",35.66,0.54,1.53,0.096254M
"Arrowhead Pharmaceuticals, Inc.",38.40,0.22,0.57,0.027696M
B2Gold Corp.,5.62,-0.04,-0.71,1.6M
Fabrinet,411.53,13.43,3.37,0.011968M
"Coeur Mining, Inc.",22.38,0.09,0.4,0.521258M
"FormFactor, Inc.",43.64,0.94,2.2,0.014721M
Legence Corp.,33.86,0.36,1.1,0.001551M
KLA Corporation,"1,105.29",18.28,1.68,0.019692M
"Nuvalent, Inc.",89.92,0.28,0.31,0.00863M
"Arcutis Biotherapeutics, Inc.",21.70,0.07,0.32,0.017995M
"Lumen Technologies, Inc.",7.29,0.03,0.34,0.276956M
"Vishay Intertechnology, Inc.",17.24,0.25,1.47,0.014986M
Alamos Gold Inc.,36.37,0.35,0.96,0.077866M
"Arcellx, Inc.",93.12,0.75,0.81,0.00715M
Centerra Gold Inc.,12.49,0.0,0.0,0.021321M
Nova Ltd.,340.54,8.4,2.53,0.013376M
QuantumScape Corporation,18.20,0.35,1.96,1.9M
Kinross Gold Corporation,27.19,0.3,1.12,0.16036M
StoneCo Ltd.,17.94,-0.03,-0.17,0.024193M
Alvotech,8.98,0.0,0.0,0.012062M
"Moderna, Inc.",27.60,-0.12,-0.43,0.213773M
"CleanSpark, Inc.",22.90,-0.3,-1.29,1.7M
Ultragenyx Pharmaceutical Inc.,33.80,0.37,1.11,0.016667M
Modine Manufacturing Company,163.07,0.98,0.6,0.022087M
"Disc Medicine, Inc.",76.85,-0.13,-0.17,0.001791M
"RXO, Inc.",18.57,0.7,3.95,0.02282M
"ASE Technology Holding Co., Ltd.",12.69,0.74,6.19,0.32461M
StoneX Group Inc.,103.90,0.36,0.35,0.003703M
"Core Scientific, Inc.",19.91,-0.03,-0.18,0.227982M
Fluor Corporation,51.44,0.69,1.35,0.059583M
WEBTOON Entertainment Inc.,18.50,0.19,1.04,0.021419M
Fortuna Mining Corp.,9.61,-0.02,-0.16,0.174617M
Sanmina Corporation,132.80,0.86,0.65,0.007314M
Silicon Laboratories Inc.,138.30,1.01,0.74,0.00244M
"Figma, Inc.",65.98,2.03,3.17,0.490736M
"Axsome Therapeutics, Inc.",130.29,0.71,0.55,0.011264M
Melco Resorts & Entertainment Limited,8.19,0.03,0.43,0.008171M
"Avidity Biosciences, Inc.",51.47,1.0,1.99,0.024884M
IAMGOLD Corporation,14.44,0.17,1.23,0.122106M
"IDEAYA Biosciences, Inc.",28.90,0.52,1.83,0.006652M
The Chemours Company,14.42,0.66,4.8,3.3M
TAL Education Group,10.97,0.05,0.46,0.053687M
Morgan Stanley,163.68,1.01,0.62,0.120695M
Lam Research Corporation,146.92,2.14,1.48,0.215575M
"Catalyst Pharmaceuticals, Inc.",21.17,-0.09,-0.42,0.019664M
"Via Transportation, Inc.",50.08,0.74,1.5,0.009583M
"Allegro MicroSystems, Inc.",29.12,0.25,0.85,0.008035M
"Amkor Technology, Inc.",32.87,1.59,5.08,0.274681M
"Boot Barn Holdings, Inc.",188.18,-0.05,-0.02,0.004318M
"VNET Group, Inc.",9.46,-0.13,-1.36,0.031885M
Genius Sports Limited,12.39,0.14,1.1,0.023451M
"Roku, Inc.",98.89,0.31,0.31,0.021745M
Kyivstar Group Ltd.,12.89,0.15,1.18,0.012524M
Agnico Eagle Mines Limited,179.02,0.12,0.07,0.096102M
Silicon Motion Technology Corporation,93.80,1.16,1.23,0.002103M
Bank of America Corporation,52.52,0.22,0.42,0.814899M
Synaptics Incorporated,70.00,0.36,0.52,0.002958M
"Voyager Technologies, Inc.",37.10,0.31,0.83,0.062207M
"Champion Homes, Inc.",71.00,2.95,4.34,0.004837M
Turkcell Iletisim Hizmetleri A.S.,5.76,-0.03,-0.6,0.033181M
Brookfield Renewable Partners L.P.,28.30,0.27,0.96,0.011855M
"Applied Materials, Inc.",230.54,2.96,1.3,0.283661M
Generac Holdings Inc.,193.34,1.56,0.81,0.019312M
Intel Corporation,37.02,-0.13,-0.35,3.2M
WeRide Inc.,10.97,-0.1,-0.9,0.28802M
