company_name,price,change,perc_change,volume
Valaris Limited,50.37,0.22,0.44,0.00487M
"Axcelis Technologies, Inc.",85.26,1.49,1.78,0.011096M
Banco Macro S.A.,53.50,0.49,0.92,0.006556M
Barrick Mining Corporation,34.96,0.27,0.78,0.34083M
"Amicus Therapeutics, Inc.",8.42,0.05,0.6,0.025343M
"Monolithic Power Systems, Inc.","1,011.52",3.59,0.36,0.004265M
Summit Therapeutics Inc.,23.13,0.49,2.16,0.082917M
Sportradar Group AG,27.52,0.01,0.04,0.023962M
"Solaris Energy Infrastructure, Inc.",55.13,0.25,0.46,0.057633M
DRDGOLD Limited,30.66,0.51,1.71,0.037521M
"Ameresco, Inc.",43.44,0.17,0.38,0.011855M
EQT Corporation,55.89,0.45,0.81,0.071747M
"MACOM Technology Solutions Holdings, Inc.",138.49,1.66,1.21,0.005969M
D-Wave Quantum Inc.,44.51,-0.3,-0.67,1.5M
"Mirum Pharmaceuticals, Inc.",76.26,0.07,0.09,0.004747M
Roblox Corporation,137.46,-1.19,-0.86,0.134263M
"Powell Industries, Inc.",338.12,8.36,2.54,0.007028M
Dutch Bros Inc.,55.03,-0.01,-0.03,0.067887M
"Advanced Energy Industries, Inc.",191.73,1.77,0.93,0.002215M
"Rhythm Pharmaceuticals, Inc.",111.00,1.65,1.51,0.024313M
WPP plc,24.02,0.23,0.97,0.018146M
"Argan, Inc.",316.32,3.66,1.17,0.011178M
Gold Fields Limited,44.58,0.77,1.76,0.064744M
"CoreWeave, Inc.",141.67,2.43,1.75,0.716957M
Constellium SE,15.91,0.59,3.85,0.002409M
Korea Electric Power Corporation,14.28,0.22,1.6,0.006978M
"Power Integrations, Inc.",48.53,-0.3,-0.61,0.037485M
"Natera, Inc.",179.71,0.29,0.16,0.006893M
Terreno Realty Corporation,59.65,0.13,0.22,0.008083M
Hafnia Limited,5.86,0.09,1.47,0.044149M
"SharkNinja, Inc.",95.55,0.73,0.76,0.01659M
Noble Corporation plc,28.43,0.12,0.44,0.011102M
Constellation Energy Corporation,408.15,4.2,1.04,0.07524M
Seagate Technology Holdings plc,223.38,4.0,1.83,0.097825M
"Cavco Industries, Inc.",529.29,-0.37,-0.07,967.0M
Orla Mining Ltd.,13.56,-0.05,-0.37,0.039403M
Capri Holdings Limited,20.70,-0.07,-0.34,0.012735M
Banco de Chile,32.52,0.28,0.86,0.005085M
IPG Photonics Corporation,86.43,0.21,0.24,0.001142M
"Amer Sports, Inc.",32.20,0.18,0.56,0.070098M
TotalEnergies SE,61.20,0.73,1.21,0.023562M
"Sarepta Therapeutics, Inc.",22.31,0.11,0.5,0.092333M
Oshkosh Corporation,136.17,4.71,3.58,0.003924M
Full Truck Alliance Co. Ltd.,12.49,0.0,0.0,0.042967M
Brookfield Renewable Corporation,41.00,0.36,0.89,0.015292M
CRISPR Therapeutics AG,69.86,-1.96,-2.73,0.126108M
"NRG Energy, Inc.",173.16,1.77,1.03,0.01703M
"Shinhan Financial Group Co., Ltd.",51.38,0.79,1.56,0.003855M
Logitech International S.A.,108.88,0.35,0.32,0.0154M
Skeena Resources Limited,19.86,-0.03,-0.18,0.13943M
Gates Industrial Corporation plc,26.06,0.3,1.16,0.035844M
Newmont Corporation,94.50,0.91,0.97,0.401414M
"First Industrial Realty Trust, Inc.",54.50,0.79,1.48,0.021409M
Diodes Incorporated,56.19,0.62,1.11,0.003513M
DraftKings Inc.,35.55,0.05,0.14,0.1727M
Frontline plc,23.25,0.51,2.24,0.147551M
Dell Technologies Inc.,155.25,1.57,1.02,0.185062M
Arista Networks Inc,145.49,2.11,1.47,0.175468M
Atour Lifestyle Holdings Limited,36.76,0.2,0.55,0.006859M
"Kontoor Brands, Inc.",84.54,2.7,3.3,0.00299M
Nokia Oyj,5.74,0.09,1.59,0.796367M
Knowles Corporation,23.59,0.75,3.28,0.001605M
Xenon Pharmaceuticals Inc.,42.12,0.22,0.53,0.005076M
"REV Group, Inc.",57.73,-0.05,-0.09,0.010343M
Vontier Corporation,40.69,0.26,0.66,0.005781M
Grupo Financiero Galicia S.A.,33.83,0.57,1.71,0.014547M
"Cinemark Holdings, Inc.",27.10,0.07,0.26,0.014199M
KB Financial Group Inc.,80.50,-0.76,-0.93,0.001345M
Semtech Corporation,70.08,0.29,0.42,0.006792M
"Rush Street Interactive, Inc.",20.50,0.04,0.2,0.009281M
Jones Lang LaSalle Incorporated,305.99,2.05,0.68,0.004236M
"ACM Research, Inc.",39.86,0.54,1.37,0.01073M
Sunoco LP,52.45,0.05,0.1,0.003741M
Sibanye Stillwater Limited,12.31,0.22,1.82,0.505679M
Victoria's Secret & Co.,30.49,0.12,0.4,0.031707M
Sprott Physical Silver Trust,17.69,-0.02,-0.11,0.580865M
Jabil Inc.,209.46,2.62,1.27,0.022507M
Jyong Biotech Ltd.,58.22,1.77,3.14,470.0M
LandBridge Company LLC,53.97,0.83,1.56,0.008425M
