symbol,company_name,price,change,perc_change,volume
QS,QuantumScape Corp. Cl A ,15.43,-0.03,-0.19,128.5K
ADBE,Adobe Inc. ,328.5,-0.73,-0.22,122.8K
DXCM,DexCom Inc. ,66.18,-0.15,-0.23,82.4K
TXN,Texas Instruments Inc. ,175.08,-0.41,-0.23,207.0K
EBAY,eBay Inc. ,90.96,-0.23,-0.25,99.3K
AGNC,AGNC Investment Corp. ,9.9,-0.03,-0.25,118.8K
CZR,Caesars Entertainment Inc. ,21.68,-0.06,-0.25,66.8K
PAYX,Paychex Inc. ,126.12,-0.37,-0.29,63.4K
LRCX,Lam Research Corp. ,141.94,-0.42,-0.3,311.5K
ADSK,Autodesk Inc. ,298.91,-0.91,-0.3,51.2K
