company_name,price,change,perc_change,volume
"Praxis Precision Medicines, Inc.",177.33,119.98,209.21,11.2M
"J.B. Hunt Transport Services, Inc.",165.99,27.16,19.56,3.5M
"GRAIL, Inc.",83.39,7.87,10.42,1.2M
Hecla Mining Company,15.28,1.12,7.91,11.5M
Kyivstar Group Ltd.,13.64,0.9,7.06,0.764275M
Gold Fields Limited,47.12,3.33,7.61,2.7M
Endeavour Silver Corp.,10.20,0.72,7.53,11.3M
Sibanye Stillwater Limited,12.99,0.9,7.44,8.3M
"Belite Bio, Inc",86.78,5.52,6.81,0.056815M
Scorpio Tankers Inc.,58.09,3.52,6.45,0.339715M
Western Digital Corporation,127.45,7.01,5.82,8.6M
TFI International Inc.,93.80,4.8,5.39,0.116973M
Bruker Corporation,38.21,2.01,5.55,1.6M
"Caris Life Sciences, Inc.",32.87,1.71,5.5,0.396062M
Enerpac Tool Group Corp.,42.52,2.21,5.48,0.284096M
AngloGold Ashanti plc,79.36,4.14,5.5,1.7M
Knight-Swift Transportation Holdings Inc.,46.45,2.25,5.09,2.7M
"Avantor, Inc.",14.60,0.73,5.27,7.1M
Eldorado Gold Corporation,30.74,1.56,5.35,1.9M
"Fomento Económico Mexicano, S.A.B. de C.V.",95.56,4.55,5.0,0.21499M
"ASE Technology Holding Co., Ltd.",12.53,0.6,5.07,10.1M
"Micron Technology, Inc.",200.90,8.96,4.67,26.2M
DRDGOLD Limited,31.68,1.54,5.12,0.358452M
"Ramaco Resources, Inc.",50.29,2.44,5.11,2.8M
Celestica Inc.,282.19,12.23,4.53,2.9M
Vicor Corporation,60.01,2.7,4.71,0.303284M
Compañía de Minas Buenaventura S.A.A.,26.75,1.21,4.74,0.950923M
Seagate Technology Holdings plc,229.47,10.09,4.6,3.1M
Denali Therapeutics Inc.,17.07,0.76,4.66,1.0M
Perpetua Resources Corp.,28.97,1.47,5.35,4.5M
"Certara, Inc.",12.54,0.57,4.76,0.578175M
Newmont Corporation,98.13,4.55,4.86,6.1M
Agnico Eagle Mines Limited,186.91,8.17,4.57,1.6M
"Illumina, Inc.",97.16,4.16,4.47,0.97918M
"Coca-Cola FEMSA, S.A.B. de C.V.",84.96,3.63,4.47,0.070103M
"Bio-Rad Laboratories, Inc.",319.45,13.6,4.45,0.132396M
TORM plc,20.74,0.89,4.48,0.236201M
"América Móvil, S.A.B. de C.V.",22.50,0.94,4.34,1.3M
"Coeur Mining, Inc.",23.28,1.0,4.49,7.4M
OR Royalties Inc.,40.33,1.67,4.32,0.509077M
"Guardant Health, Inc.",66.98,2.79,4.35,1.4M
Lumentum Holdings Inc.,163.05,6.48,4.14,1.1M
Brown-Forman Corporation,28.18,1.15,4.25,0.2648M
"Salesforce, Inc.",246.27,9.69,4.1,14.8M
Diageo plc,98.92,3.69,3.88,1.6M
Franco-Nevada Corporation,218.00,8.57,4.1,0.528319M
Barrick Mining Corporation,36.08,1.4,4.05,12.2M
Bio-Techne Corporation,61.94,2.35,3.95,0.832233M
Fermi Inc.,29.70,1.2,4.21,1.6M
Fabrinet,414.20,15.86,3.98,0.42651M
First Majestic Silver Corp.,15.49,0.62,4.2,17.7M
"International Seaways, Inc.",45.88,1.9,4.32,0.329005M
Seabridge Gold Inc.,28.90,1.05,3.77,0.831624M
Frontline plc,23.65,0.91,3.98,1.6M
Coherent Corp.,114.19,3.78,3.42,1.3M
Harmony Gold Mining Company Limited,21.94,0.78,3.71,3.1M
"Hub Group, Inc.",35.88,1.23,3.55,0.450785M
Brown-Forman Corporation,28.15,0.99,3.63,1.3M
"Celsius Holdings, Inc.",65.23,2.13,3.38,3.3M
"Schneider National, Inc.",23.45,0.77,3.4,0.566054M
Mettler-Toledo International Inc.,"1,349.08",45.08,3.46,0.051088M
Rayonier Inc.,25.02,0.84,3.47,0.894487M
Sandstorm Gold Ltd.,13.08,0.47,3.69,3.3M
"Saia, Inc.",307.80,11.03,3.72,0.249746M
Snap-on Incorporated,343.86,11.27,3.39,0.438137M
Pan American Silver Corp.,42.40,1.39,3.39,3.7M
"Madrigal Pharmaceuticals, Inc.",447.85,14.4,3.32,0.077942M
"Ambarella, Inc.",86.03,2.76,3.31,0.366277M
"Royal Gold, Inc.",209.23,6.99,3.46,0.690851M
"Watsco, Inc.",368.48,11.83,3.32,0.282702M
Celcuity Inc.,51.96,1.93,3.86,0.697963M
PotlatchDeltic Corporation,42.50,1.35,3.28,0.559468M
"Alnylam Pharmaceuticals, Inc.",485.95,15.68,3.33,0.43557M
Triple Flag Precious Metals Corp.,33.37,1.07,3.31,0.253019M
B2Gold Corp.,5.87,0.2,3.51,36.1M
"Charles River Laboratories International, Inc.",175.95,5.23,3.06,0.34145M
Cmb.Tech NV,9.74,0.31,3.29,1.2M
Stevanato Group S.p.A.,24.67,0.74,3.09,0.11832M
ON Semiconductor Corporation,51.83,1.47,2.92,3.5M
Hafnia Limited,5.95,0.18,3.03,0.442449M
Bunge Global SA,95.87,2.78,2.99,2.1M
