symbol,company_name,price,change,perc_change,volume
APLS,"Apellis Pharmaceuticals, Inc.",23.99,0.84,3.65,60046.0M
U,Unity Software Inc.,37.77,1.17,3.20,324634.0M
EBC,"Eastern Bankshares, Inc.",18.93,0.07,0.39,6397.0M
FBIN,"Fortune Brands Innovations, Inc.",49.92,0.1,0.20,9225.0M
ARX,Accelerant Holdings,14.83,0.26,1.78,13834.0M
SEDG,"SolarEdge Technologies, Inc.",39.20,1.47,3.90,94522.0M
STVN,Stevanato Group S.p.A.,24.12,0.81,3.47,841.0M
EXPE,"Expedia Group, Inc.",223.99,0.87,0.39,9925.0M
ZBH,"Zimmer Biomet Holdings, Inc.",98.53,0.12,0.13,10071.0M
TREX,"Trex Company, Inc.",53.47,0.32,0.61,35134.0M
LCII,LCI Industries,87.69,2.92,3.44,1358.0M
FCFS,"FirstCash Holdings, Inc.",158.40,-0.53,-0.33,3552.0M
ZK,ZEEKR Intelligent Technology Holding Limited,29.60,1.09,3.82,24176.0M
LPX,Louisiana-Pacific Corporation,92.79,3.06,3.41,3871.0M
CGNX,Cognex Corporation,45.95,0.72,1.59,22914.0M
CWK,Cushman & Wakefield plc,15.76,0.22,1.38,12966.0M
ABNB,"Airbnb, Inc.",125.57,2.68,2.18,160236.0M
HGV,Hilton Grand Vacations Inc.,43.31,0.31,0.71,5612.0M
BLK,"BlackRock, Inc.","1,202.50",7.98,0.67,27299.0M
LEN-B,Lennar Corporation,114.78,3.76,3.39,704.0M
LVS,Las Vegas Sands Corp.,48.31,0.28,0.57,59440.0M
ENS,EnerSys,122.58,3.11,2.60,17168.0M
RNST,Renasant Corporation,36.58,1.19,3.36,2850.0M
TRMK,Trustmark Corporation,39.76,0.15,0.37,3355.0M
SITE,"SiteOne Landscape Supply, Inc.",122.37,-1.68,-1.35,12281.0M
THC,Tenet Healthcare Corporation,196.33,6.33,3.33,6575.0M
PRK,Park National Corporation,162.00,5.21,3.32,265.0M
CACC,Credit Acceptance Corporation,504.25,16.11,3.30,620.0M
TEX,Terex Corporation,54.17,1.73,3.30,3181.0M
CRBG,"Corebridge Financial, Inc.",32.76,0.17,0.54,67824.0M
UPST,"Upstart Holdings, Inc.",51.93,1.54,3.06,359313.0M
PAG,"Penske Automotive Group, Inc.",173.97,0.09,0.05,2734.0M
VICR,Vicor Corporation,54.59,0.94,1.75,4252.0M
RRR,"Red Rock Resorts, Inc.",58.26,0.59,1.02,6118.0M
GBTG,"Global Business Travel Group, Inc.",8.05,0.06,0.75,4430.0M
DLTR,"Dollar Tree, Inc.",100.00,4.42,4.62,344163.0M
FULT,Fulton Financial Corporation,18.40,0.17,0.93,27090.0M
ABCB,Ameris Bancorp,75.61,0.73,0.97,5865.0M
APH,Amphenol Corporation,125.37,2.71,2.21,669332.0M
BAX,Baxter International Inc.,22.65,-0.17,-0.74,49164.0M
MAIN,Main Street Capital Corporation,58.67,0.21,0.37,31253.0M
WYNN,"Wynn Resorts, Limited",117.30,1.19,1.02,33566.0M
MATX,"Matson, Inc.",92.98,2.87,3.18,2417.0M
COF,Capital One Financial Corporation,216.62,2.43,1.13,57630.0M
REZI,"Resideo Technologies, Inc.",42.08,0.41,0.97,8453.0M
POWI,"Power Integrations, Inc.",49.31,2.28,4.85,175892.0M
FCNCA,"First Citizens BancShares, Inc.","1,788.09",54.49,3.14,375.0M
BBT,Beacon Financial Corporation,25.53,0.45,1.82,10917.0M
WOR,"Worthington Enterprises, Inc.",57.19,1.73,3.12,1481.0M
CCJ,Cameco Corporation,96.62,3.44,3.70,243117.0M
ENPH,"Enphase Energy, Inc.",37.98,1.54,4.23,251650.0M
RELY,"Remitly Global, Inc.",15.49,0.18,1.21,143960.0M
CFG,"Citizens Financial Group, Inc.",52.43,0.65,1.26,158244.0M
NCLH,Norwegian Cruise Line Holdings Ltd.,23.91,0.16,0.65,124067.0M
EFSC,Enterprise Financial Services Corp,56.65,-1.31,-2.25,3530.0M
GSHD,"Goosehead Insurance, Inc",68.95,-0.01,-0.01,3769.0M
VFC,V.F. Corporation,14.60,0.13,0.90,44205.0M
UHS,"Universal Health Services, Inc.",204.12,0.26,0.13,4988.0M
CROX,"Crocs, Inc.",83.86,-0.12,-0.14,32547.0M
WULF,TeraWulf Inc.,15.62,0.16,1.01,2.5M
MLCO,Melco Resorts & Entertainment Limited,7.92,0.14,1.80,61469.0M
KC,Kingsoft Cloud Holdings Limited,13.22,0.32,2.52,84789.0M
PKX,POSCO Holdings Inc.,49.40,-0.05,-0.10,1563.0M
AVGO,Broadcom Inc.,350.66,6.53,1.90,1.4M
