company_name,price,change,perc_change,volume
"Kymera Therapeutics, Inc.",60.76,2.51,4.3,0.197238M
"Prologis, Inc.",120.45,5.0,4.33,2.6M
Aveanna Healthcare Holdings Inc.,9.72,0.4,4.29,1.2M
The Chemours Company,14.32,0.56,4.07,1.4M
"Globalstar, Inc.",45.12,1.81,4.17,0.400319M
uniQure N.V.,61.28,2.33,3.94,0.898311M
"Arcellx, Inc.",90.89,3.56,4.08,0.184105M
"Catalyst Pharmaceuticals, Inc.",21.16,0.85,4.16,0.395466M
"Enphase Energy, Inc.",37.98,1.54,4.23,4.9M
"Crinetics Pharmaceuticals, Inc.",45.90,1.85,4.2,0.272732M
"Monolithic Power Systems, Inc.","1,009.00",40.75,4.21,0.219649M
"Tarsus Pharmaceuticals, Inc.",72.72,2.89,4.14,0.261033M
Golar LNG Limited,39.66,1.54,4.04,0.609684M
"Natera, Inc.",179.68,6.87,3.98,0.353866M
"Amicus Therapeutics, Inc.",8.38,0.34,4.17,2.3M
Dell Technologies Inc.,154.86,6.09,4.09,2.8M
YPF Sociedad Anónima,27.20,1.15,4.41,1.8M
Banco BBVA Argentina S.A.,9.82,0.41,4.37,0.674215M
"Power Integrations, Inc.",48.94,1.91,4.06,2.0M
Gold Fields Limited,43.88,1.72,4.08,2.1M
Arista Networks Inc,144.46,5.68,4.09,4.3M
"Vaxcyte, Inc.",44.57,1.72,4.01,0.538165M
Unity Software Inc.,37.99,1.41,3.84,3.0M
"Entegris, Inc.",94.54,3.6,3.96,0.4903M
"Amer Sports, Inc.",32.12,1.2,3.9,3.9M
Planet Labs PBC,15.38,0.6,4.06,5.8M
Agnico Eagle Mines Limited,177.94,6.75,3.94,1.2M
XP Inc.,16.66,0.62,3.87,2.8M
Constellium SE,15.91,0.59,3.85,0.49476M
"Eos Energy Enterprises, Inc.",17.67,0.67,3.94,20.6M
Nextracker Inc.,90.36,3.41,3.92,1.8M
Grindr Inc.,13.23,0.49,3.89,1.4M
"Axsome Therapeutics, Inc.",128.15,4.63,3.75,0.328378M
"Guardant Health, Inc.",64.97,2.41,3.85,0.5712M
Carvana Co.,359.36,13.45,3.89,0.948187M
Perpetua Resources Corp.,28.26,1.07,3.95,4.1M
"Cytokinetics, Incorporated",63.33,2.3,3.77,0.731878M
"Boot Barn Holdings, Inc.",186.85,6.79,3.77,0.270957M
Telecom Argentina S.A.,7.70,0.28,3.77,0.041279M
"Shinhan Financial Group Co., Ltd.",50.77,1.83,3.74,0.136895M
Sportradar Group AG,27.40,0.97,3.67,1.4M
Kyivstar Group Ltd.,12.68,0.48,3.89,0.394369M
Orla Mining Ltd.,13.65,0.52,3.92,3.2M
Grupo Financiero Galicia S.A.,33.49,1.28,3.97,2.3M
Compañía de Minas Buenaventura S.A.A.,26.24,0.96,3.8,0.859221M
"FormFactor, Inc.",41.73,1.48,3.68,0.254518M
"PTC Therapeutics, Inc.",68.37,2.28,3.45,0.459208M
Lam Research Corporation,143.36,5.05,3.65,4.3M
TotalEnergies SE,60.45,2.09,3.58,1.1M
KB Financial Group Inc.,81.62,2.83,3.59,0.031063M
Texas Pacific Land Corporation,940.07,32.55,3.59,0.056087M
Las Vegas Sands Corp.,49.76,1.72,3.58,2.0M
"Ocular Therapeutix, Inc.",11.61,0.38,3.38,0.891004M
Pan American Silver Corp.,40.89,1.35,3.42,3.1M
WPP plc,23.70,0.8,3.49,0.187889M
"Vista Energy, S.A.B. de C.V.",36.45,1.27,3.61,0.491309M
"RadNet, Inc.",76.37,2.56,3.47,0.156371M
"Cavco Industries, Inc.",526.54,15.57,3.05,0.083699M
Pampa Energía S.A.,66.16,2.22,3.47,0.192418M
Korea Electric Power Corporation,14.02,0.48,3.53,0.164289M
"Remitly Global, Inc.",15.83,0.52,3.4,1.4M
Hafnia Limited,5.75,0.19,3.42,0.343703M
"Power Solutions International, Inc.",94.82,2.91,3.17,0.254273M
Silicon Laboratories Inc.,135.38,4.59,3.51,0.076373M
"Rivian Automotive, Inc.",13.57,0.45,3.43,18.3M
"Roku, Inc.",97.39,2.99,3.16,0.874405M
"Cinemark Holdings, Inc.",27.02,0.86,3.29,2.0M
MINISO Group Holding Limited,22.90,0.73,3.29,0.698351M
Full Truck Alliance Co. Ltd.,12.47,0.4,3.36,1.8M
Newmont Corporation,93.57,3.03,3.35,4.1M
Aris Mining Corporation,11.10,0.35,3.26,0.517602M
Kingsoft Cloud Holdings Limited,13.35,0.45,3.45,0.703671M
"Marvell Technology, Inc.",89.06,2.84,3.29,6.3M
Synaptics Incorporated,68.96,2.22,3.33,0.106898M
"SailPoint, Inc.",23.04,0.73,3.27,0.801642M
Legend Biotech Corporation,34.32,1.09,3.28,0.871037M
"ADMA Biologics, Inc.",15.43,0.48,3.18,1.2M
"Veracyte, Inc.",35.05,1.1,3.24,0.216376M
Oshkosh Corporation,135.74,4.28,3.26,0.318818M
"Alphatec Holdings, Inc.",14.25,0.44,3.19,0.910574M
Uranium Energy Corp.,16.31,0.65,4.15,11.2M
"MACOM Technology Solutions Holdings, Inc.",135.97,4.43,3.37,0.289993M
Frontline plc,22.69,0.68,3.11,1.1M
Wayfair Inc.,81.75,2.55,3.21,1.2M
Ciena Corporation,170.07,5.25,3.19,1.0M
Xenon Pharmaceuticals Inc.,41.86,1.29,3.18,0.224009M
Genius Sports Limited,12.09,0.37,3.16,2.9M
"Burlington Stores, Inc.",282.48,8.39,3.06,0.248504M
"Aurora Innovation, Inc.",5.58,0.16,2.95,11.5M
EQT Corporation,54.96,1.67,3.12,2.0M
Skeena Resources Limited,19.84,0.6,3.12,0.625187M
Logitech International S.A.,108.21,3.27,3.12,0.422462M
"Tempus AI, Inc.",92.61,2.74,3.05,3.0M
"Alexandria Real Estate Equities, Inc.",77.33,2.26,3.01,0.60646M
"Champion Homes, Inc.",70.13,2.08,3.05,0.176415M
Barrick Mining Corporation,34.33,1.03,3.09,9.8M
"NRG Energy, Inc.",170.81,5.2,3.14,0.981733M
