symbol,company_name,price,change,perc_change,volume
COOT,Australian Oilseeds Holdings Ltd. ,2.64,1.68,173.58,184.5M
OMER,Omeros Corp. ,10.42,6.32,154.15,124.6M
PFAI,Pinnacle Food Group Ltd. Cl A ,4.57,2.66,139.27,63.0M
TRUE,TrueCar Inc. ,2.4,0.92,62.16,7.4M
SLNH,Soluna Holdings Inc. ,4.29,1.5,53.76,46.8M
VERI,Veritone Inc. ,8.39,2.93,53.66,46.6M
SDOT,Sadot Group Inc. ,7.72,2.53,48.75,20.3M
RKDA,Arcadia Biosciences Inc. ,5.45,1.76,47.7,21.1M
SOGP,Sound Group Inc. ADR ,19.05,5.88,44.59,2.4M
FOSL,Fossil Group Inc. ,3.75,1.1,41.51,12.9M
RMSG,Real Messenger Corp. ,2.64,0.77,41.18,1.3M
EVAX,Evaxion A/S ADR ,11.01,3.17,40.43,2.7M
IRBT,iRobot Corp. ,5.37,1.44,36.64,25.6M
SANA,Sana Biotechnology Inc. ,5.92,1.47,33.03,35.9M
TE,T1 Energy Inc. ,5.24,1.23,30.67,29.5M
BTDR,Bitdeer Technologies Group ,25.9,5.78,28.73,32.8M
ZBAI,ATIF Holdings Ltd. ,10.54,2.34,28.54,1.4M
ABSI,Absci Corp. ,5.0,1.1,28.21,17.1M
SHMD,SCHMID Group N.V. ,4.0,0.87,27.8,348.3K
TGEN,Tecogen Inc. ,12.07,2.54,26.65,2.8M
BZAI,Blaize Holdings Inc. ,6.29,1.28,25.55,14.6M
IBG,Innovation Beverage Group Ltd. ,4.03,0.81,25.16,23.5M
SPRC,SciSparc Ltd. ,4.29,0.84,24.35,2.2M
TCGL,TechCreate Group Ltd. ,4.93,0.93,23.25,2.7M
QSI,Quantum-Si Inc. ,2.63,0.48,22.33,53.3M
NVTS,Navitas Semiconductor Corp. ,15.16,2.59,20.6,147.8M
EDAP,EDAP TMS S.A. ADR ,2.58,0.44,20.56,455.9K
AIRJ,AirJoule Technologies Corp. ,6.59,1.11,20.26,1.0M
BETR,Better Home & Finance Holding Co. ,59.87,9.95,19.93,989.4K
EUDA,EUDA Health Holdings Ltd. ,3.89,0.63,19.33,104.6K
KOD,Kodiak Sciences Inc. ,14.88,2.4,19.23,1.1M
MVST,Microvast Holdings Inc. ,6.25,1.0,19.05,19.7M
WATT,Energous Corp. ,8.9,1.39,18.51,236.2K
HI,Hillenbrand Inc. ,31.31,4.82,18.2,32.1M
OCC,Optical Cable Corp. ,10.1,1.51,17.58,105.0K
ASM,Avino Silver & Gold Mines Ltd. ,6.51,0.97,17.51,11.5M
