symbol,company_name,price,change,perc_change,volume
STI,Solidion Technology Inc. ,16.7,11.21,204.19,68.8M
GWH,ESS Tech Inc. ,9.42,5.26,126.44,106.7M
AQMS,Aqua Metals Inc. ,11.34,5.68,100.35,11.8M
PMAX,Powell Max Ltd. ,4.59,2.0,77.22,23.9M
CRML,Critical Metals Corp. ,21.28,6.3,42.06,41.0M
CHNR,China Natural Resources Inc. ,7.03,2.05,41.25,15.7M
LITM,Snow Lake Resources Ltd. ,6.25,1.77,39.47,11.9M
ABAT,American Battery Technology Co. ,9.07,2.32,34.37,32.9M
IPDN,Professional Diversity Network Inc. ,3.9,0.94,31.64,933.5K
NVA,Nova Minerals Ltd. ADR ,35.35,8.44,31.37,335.7K
ACON,Aclarion Inc. ,11.2,2.6,30.27,3.5M
ELWS,Earlyworks Co. Ltd. ADR ,3.51,0.81,29.98,147.1K
TAOX,Tao Synergies Inc. ,8.9,2.01,29.17,432.6K
UAMY,United States Antimony Corp. ,15.7,3.5,28.62,26.1M
BE,Bloom Energy Corp. ,110.88,24.01,27.64,18.0M
IMAB,I-Mab ADR ,6.07,1.3,27.25,3.5M
ADN,Advent Technologies Holdings Inc. ,3.65,0.78,27.18,276.6K
HOVR,New Horizon Aircraft Ltd. ,3.64,0.77,26.83,1.6M
ASPI,ASP Isotopes Inc. ,12.83,2.7,26.65,15.8M
SDST,Stardust Power Inc. ,4.85,1.0,25.97,410.6K
NAMM,Namib Minerals ,3.95,0.79,25.0,20.8M
EOSE,Eos Energy Enterprises Inc. ,17.16,3.34,24.17,28.7M
MP,MP Materials Corp. ,96.91,18.57,23.7,35.0M
OMEX,Odyssey Marine Exploration Inc. ,3.49,0.67,23.73,3.3M
BITF,Bitfarms Ltd. ,5.16,0.96,22.85,98.2M
FOFO,Hang Feng Technology Innovation Co. Ltd. ,14.33,2.63,22.44,242.3K
USAR,USA Rare Earth Inc. ,39.9,7.29,22.37,33.7M
NBTX,Nanobiotix S.A. ADR ,28.75,5.15,21.82,128.8K
NVTS,Navitas Semiconductor Corp. ,10.0,1.77,21.51,43.8M
FLNC,Fluence Energy Inc. ,15.82,2.73,20.86,6.6M
NMG,Nouveau Monde Graphite Inc. ,4.02,0.68,20.25,1.0M
EUDA,EUDA Health Holdings Ltd. ,3.42,0.56,19.58,113.7K
ONDS,Ondas Holdings Inc. ,11.02,1.8,19.58,33.7M
WYFI,WhiteFiber Inc. ,39.49,6.46,19.56,842.2K
ARQQ,Arqit Quantum Inc. ,57.93,9.41,19.39,771.5K
UUUU,Energy Fuels Inc. ,24.23,3.89,19.12,30.1M
WTI,W&T Offshore Inc. ,2.46,0.39,18.84,7.6M
MVST,Microvast Holdings Inc. ,5.14,0.81,18.82,11.8M
NAK,Northern Dynasty Minerals Ltd. ,2.41,0.38,18.71,32.0M
IONR,Ioneer Ltd. ADR ,7.31,1.14,18.48,610.4K
SOAR,Volato Group Inc. ,2.95,0.46,18.47,2.7M
BRLT,Brilliant Earth Group Inc. Cl A ,2.5,0.38,17.92,141.1K
