symbol,company_name,price,change,perc_change,volume
PRAX,Praxis Precision Medicines Inc. ,177.47,120.12,209.45,11.1M
RYOJ,rYojbaba Co. Ltd. ,3.65,1.48,68.2,22.4M
ELWS,Earlyworks Co. Ltd. ADR ,6.08,2.4,65.08,20.4M
NVA,Nova Minerals Ltd. ADR ,69.76,15.18,27.81,2.0M
WATT,Energous Corp. ,10.97,2.07,23.26,1.9M
JBHT,J.B. Hunt Transport Services Inc. ,166.09,27.26,19.64,3.4M
WHWK,Whitehawk Therapeutics Inc. ,2.5,0.41,19.29,86.5M
CCCC,C4 Therapeutics Inc. ,2.64,0.41,18.69,5.8M
AGRZ,Agroz Inc. ,5.2,0.73,16.33,244.0K
BTQ,BTQ Technologies Corp. ,12.41,1.62,15.01,13.6M
PSNL,Personalis Inc. ,9.6,1.07,12.54,1.4M
QH,Quhuo Ltd. ADR ,7.96,0.85,11.95,580.9K
YQ,17 Education & Technology Group Inc. ADR ,6.08,0.62,11.36,60.1K
GRAL,GRAIL Inc. ,83.88,8.36,11.06,1.2M
MUX,McEwen Inc. ,23.83,2.32,10.78,2.5M
SLI,Standard Lithium Ltd. ,5.67,0.55,10.74,10.9M
MGX,Metagenomi Inc. ,3.47,0.34,10.73,2.9M
TTRX,Turn Therapeutics Inc. ,5.64,0.54,10.49,317.0K
CETY,Clean Energy Technologies Inc. ,2.87,0.27,10.38,953.6K
NXTC,NextCure Inc. ,7.51,0.7,10.28,268.8K
RMSG,Real Messenger Corp. ,2.89,0.25,9.47,226.8K
IPDN,Professional Diversity Network Inc. ,4.2,0.35,9.09,117.2K
PLAG,Planet Green Holdings Corp. ,2.28,0.19,9.09,932.3K
DBVT,DBV Technologies S.A. ADR ,17.36,1.45,9.08,222.1K
FTEL,Fitell Corp. ,4.76,0.39,8.93,151.4K
HYMC,Hycroft Mining Holding Corp. ,9.31,0.73,8.51,1.8M
CRBP,Corbus Pharmaceuticals Holdings Inc. ,18.93,1.43,8.17,312.7K
PRE,Prenetics Global Ltd. ,16.05,1.21,8.12,142.4K
DGXX,Digi Power X Inc. ,3.84,0.28,8.03,3.9M
HL,Hecla Mining Co. ,15.28,1.12,7.91,10.9M
CBIO,Crescent Biopharma Inc. ,12.14,0.85,7.56,346.2K
TCRX,TScan Therapeutics Inc. ,2.4,0.17,7.53,585.7K
GFI,Gold Fields Ltd. ADR ,47.07,3.28,7.48,2.7M
TFIN,Triumph Financial Inc. ,51.46,3.57,7.45,327.6K
OPXS,Optex Systems Holdings Inc. ,16.19,1.11,7.4,73.9K
EXK,Endeavour Silver Corp. ,10.19,0.7,7.38,11.0M
SBSW,Sibanye-Stillwater Ltd. ADR ,12.97,0.88,7.28,8.0M
KYIV,Kyivstar Group Ltd. ,13.66,0.92,7.22,742.1K
DCTH,Delcath Systems Inc. ,12.13,0.81,7.16,550.5K
ABVE,Above Food Ingredients Inc. ,5.42,0.36,7.11,7.0M
SION,Sionna Therapeutics Inc. ,33.04,2.13,6.88,214.5K
AUUD,Auddia Inc. ,2.19,0.14,6.83,35.5M
BIAF,bioAffinity Technologies Inc. ,2.89,0.18,6.64,16.7M
SNYR,Synergy CHC Corp. ,2.34,0.14,6.62,92.1K
