symbol,company_name,price,change,perc_change,volume
STI,Solidion Technology Inc. ,21.56,16.07,292.71,99.1M
GWH,ESS Tech Inc. ,9.06,4.9,117.73,159.9M
AQMS,Aqua Metals Inc. ,9.99,4.33,76.5,18.0M
GTI,Graphjet Technology ,6.1,2.23,57.62,1.9M
CRML,Critical Metals Corp. ,23.29,8.31,55.47,60.8M
NMG,Nouveau Monde Graphite Inc. ,5.06,1.72,51.5,6.5M
BLBX,Blackboxstocks Inc. ,12.18,4.03,49.45,5.0M
PMAX,Powell Max Ltd. ,3.76,1.17,45.16,25.4M
CHNR,China Natural Resources Inc. ,7.08,2.1,42.25,16.5M
ELWS,Earlyworks Co. Ltd. ADR ,3.78,1.08,40.0,314.0K
SOAR,Volato Group Inc. ,3.46,0.97,39.16,4.2M
TAOX,Tao Synergies Inc. ,9.54,2.65,38.46,672.5K
UAMY,United States Antimony Corp. ,16.71,4.5,36.85,40.3M
ABAT,American Battery Technology Co. ,9.22,2.46,36.52,43.4M
FOFO,Hang Feng Technology Innovation Co. Ltd. ,15.92,4.22,36.07,340.4K
SDST,Stardust Power Inc. ,5.16,1.31,34.03,1.2M
IPDN,Professional Diversity Network Inc. ,3.96,1.0,33.79,1.4M
LITM,Snow Lake Resources Ltd. ,5.94,1.46,32.59,19.7M
NAMM,Namib Minerals ,4.17,1.01,31.96,23.0M
ADN,Advent Technologies Holdings Inc. ,3.78,0.92,31.88,489.0K
NUKK,Nukkleus Inc. ,10.49,2.53,31.78,2.7M
ASPI,ASP Isotopes Inc. ,13.32,3.19,31.49,23.9M
NAK,Northern Dynasty Minerals Ltd. ,2.64,0.61,29.99,51.0M
PSIG,PS International Group Ltd. ,4.75,1.09,29.64,280.1K
BITF,Bitfarms Ltd. ,5.4,1.2,28.45,142.6M
CVV,CVD Equipment Corp. ,4.06,0.9,28.32,157.6K
NBTX,Nanobiotix S.A. ADR ,30.18,6.58,27.88,168.6K
HOVR,New Horizon Aircraft Ltd. ,3.66,0.8,27.7,2.8M
BE,Bloom Energy Corp. ,109.94,23.07,26.56,26.2M
NVA,Nova Minerals Ltd. ADR ,34.04,7.13,26.5,520.8K
NDRA,ENDRA Life Sciences Inc. ,8.18,1.7,26.23,13.8M
SEGG,Lottery.com Inc. ,4.68,0.95,25.64,263.3K
RGTI,Rigetti Computing Inc. ,54.94,11.02,25.09,150.0M
POWI,Power Integrations Inc. ,43.17,8.53,24.62,6.4M
BRLT,Brilliant Earth Group Inc. Cl A ,2.63,0.51,24.06,378.6K
OMEX,Odyssey Marine Exploration Inc. ,3.49,0.67,23.76,5.6M
UUU,Universal Safety Products Inc. ,5.42,1.04,23.74,300.9K
EOSE,Eos Energy Enterprises Inc. ,17.04,3.21,23.26,40.0M
QBTS,D-Wave Quantum Inc. ,40.62,7.6,23.02,82.3M
FEAM,5E Advanced Materials Inc. ,6.92,1.26,22.26,606.4K
BBAI,BigBear.ai Holdings Inc. ,8.81,1.59,22.0,201.2M
AREC,American Resources Corp. ,4.97,0.89,21.81,24.1M
VELO,Velo3D Inc. ,5.42,0.97,21.8,1.7M
LTBR,Lightbridge Corp. ,26.87,4.79,21.69,3.8M
WTI,W&T Offshore Inc. ,2.52,0.45,21.5,10.4M
IMAB,I-Mab ADR ,5.8,1.02,21.49,4.5M
FLNC,Fluence Energy Inc. ,15.88,2.79,21.31,9.6M
EDN,Empresa Distribuidora y Comercializadora Norte S.A. Cl B ADR ,20.16,3.54,21.3,700.1K
MP,MP Materials Corp. ,95.02,16.68,21.29,47.3M
LAR,Lithium Argentina AG ,5.42,0.95,21.23,7.0M
IONR,Ioneer Ltd. ADR ,7.48,1.3,21.15,889.9K
MGRT,Mega Fortune Co. Ltd. ,5.3,0.93,21.12,137.8K
TRON,Tron Inc. ,4.13,0.72,21.11,4.2M
NVTS,Navitas Semiconductor Corp. ,9.96,1.73,21.02,119.4M
MVST,Microvast Holdings Inc. ,5.23,0.9,20.85,16.2M
YQ,17 Education & Technology Group Inc. ADR ,4.87,0.84,20.84,57.9K
FORD,Forward Industries Inc. ,24.57,4.18,20.5,488.3K
ARQQ,Arqit Quantum Inc. ,58.38,9.87,20.33,1.2M
TMC,TMC the metals company Inc. ,10.69,1.8,20.32,26.8M
CIFR,Cipher Mining Inc. ,20.34,3.37,19.83,55.2M
NVNI,Nvni Group Ltd. ,3.69,0.61,19.81,674.1K
FMST,Foremost Clean Energy Ltd. ,3.76,0.62,19.75,1.0M
AGH,Aureus Greenway Holdings Inc. ,4.2,0.69,19.66,152.4K
BTQ,BTQ Technologies Corp. ,12.08,1.96,19.37,8.9M
SKBL,Skyline Builders Group Holding Ltd. Cl A ,3.69,0.59,19.18,900.8K
NNE,Nano Nuclear Energy Inc. ,54.41,8.58,18.72,7.1M
TNGX,Tango Therapeutics Inc. ,8.48,1.33,18.7,3.0M
USAR,USA Rare Earth Inc. ,38.69,6.08,18.64,46.7M
PXLW,Pixelworks Inc. ,15.22,2.38,18.57,349.6K
WYFI,WhiteFiber Inc. ,39.14,6.11,18.5,1.4M
FOSL,Fossil Group Inc. ,2.7,0.42,18.42,772.8K
GWAV,Greenwave Technology Solutions Inc. ,8.51,1.32,18.36,500.0K
METCB,Ramaco Resources Inc. Cl B ,21.68,3.35,18.31,207.5K
EUDA,EUDA Health Holdings Ltd. ,3.38,0.52,18.18,158.7K
QH,Quhuo Ltd. ADR ,7.7,1.16,17.74,1.2M
CLIK,Click Holdings Ltd. ,8.88,1.32,17.46,304.3K
RCAT,Red Cat Holdings Inc. ,15.38,2.26,17.23,15.0M
ONDS,Ondas Holdings Inc. ,10.8,1.58,17.1,49.7M
UUUU,Energy Fuels Inc. ,23.78,3.44,16.89,40.5M
CETY,Clean Energy Technologies Inc. ,2.78,0.4,16.81,340.8K
NKLR,Terra Innovatum Global N.V. ,18.2,2.59,16.59,4.0M
MNPR,Monopar Therapeutics Inc. ,102.2,14.38,16.37,79.0K
IONQ,IonQ Inc. ,82.13,11.48,16.25,37.0M
OKLO,Oklo Inc. ,171.0,23.84,16.2,24.6M
PDYN,Palladyne AI Corp. ,9.62,1.33,16.04,2.0M
CCCX,Churchill Capital Corp. X Cl A ,25.95,3.54,15.8,7.5M
SLI,Standard Lithium Ltd. ,5.21,0.7,15.52,7.8M
QS,QuantumScape Corp. Cl A ,16.98,2.27,15.48,60.9M
BGMS,Bio Green Med Solution Inc. ,5.92,0.79,15.4,468.9K
SUPX,SuperX AI Technology Ltd. ,67.08,8.92,15.34,362.7K
SEI,Solaris Energy Infrastructure Inc. ,51.86,6.88,15.31,4.3M
AGX,Argan Inc. ,294.96,38.81,15.15,375.0K
SNDK,Sandisk Corp. ,134.52,17.61,15.06,7.8M
BTDR,Bitdeer Technologies Group ,20.44,2.66,14.96,8.9M
AOSL,Alpha & Omega Semiconductor Inc. ,29.45,3.79,14.77,325.0K
BHST,BioHarvest Sciences Inc. ,12.67,1.63,14.76,159.9K
DPRO,Draganfly Inc. ,13.77,1.76,14.65,5.1M
SMR,NuScale Power Corp. ,44.97,5.73,14.6,27.2M
MGRX,Mangoceuticals Inc. ,2.52,0.32,14.55,316.8K
ATOM,Atomera Inc. ,4.84,0.61,14.54,289.2K
