company_name,price,change,perc_change,volume
Energy Fuels Inc.,24.17,3.9,19.24,4.2M
Applied Digital Corporation,36.74,2.75,8.09,4.3M
NewAmsterdam Pharma Company N.V.,37.74,0.69,1.88,0.077096M
Diginex Limited,27.5,2.57,10.31,0.179595M
Celestica Inc.,265.11,21.38,8.77,0.247909M
"VNET Group, Inc.",9.24,0.74,8.67,0.316991M
MP Materials Corp.,87.85,9.42,12.03,3.8M
Uranium Energy Corp.,16.09,1.44,9.84,1.5M
Sibanye Stillwater Limited,11.83,0.88,8.0,0.512041M
Perpetua Resources Corp.,26.55,0.76,2.95,0.460531M
"Mineralys Therapeutics, Inc.",41.41,-0.75,-1.78,0.010348M
Ero Copper Corp.,22.8,1.44,6.77,0.028503M
Futu Holdings Limited,165.24,10.64,6.88,0.345345M
Oklo Inc.,157.51,10.38,7.06,1.4M
Kanzhun Limited,23.22,1.53,7.08,0.073566M
Hudbay Minerals Inc.,17.57,0.99,5.97,0.142416M
"Amkor Technology, Inc.",30.0,1.74,6.17,0.154468M
First Majestic Silver Corp.,14.04,0.79,5.97,1.8M
Western Digital Corporation,121.07,5.65,4.9,0.396124M
Elastic N.V.,86.74,0.21,0.25,0.044271M
The Estée Lauder Companies Inc.,92.93,5.27,6.02,0.119594M
"Viasat, Inc.",34.4,1.78,5.47,0.129988M
"Micron Technology, Inc.",191.54,9.94,5.47,2.4M
"BigBear.ai Holdings, Inc.",7.7,0.48,6.65,6.4M
Coherent Corp.,116.91,5.79,5.21,0.106112M
TeraWulf Inc.,14.1,0.59,4.37,2.5M
DRDGOLD Limited,30.38,1.59,5.54,0.058877M
"Teradyne, Inc.",138.8,6.72,5.09,0.058396M
"USA Rare Earth, Inc.",37.5,4.89,15.0,4.4M
"CleanSpark, Inc.",19.9,0.62,3.22,2.6M
Cipher Mining Inc.,17.83,0.86,5.1,3.2M
Jefferies Financial Group Inc.,53.37,2.49,4.88,0.203178M
Circle Internet Group,138.65,5.72,4.3,0.951285M
Alcoa Corporation,36.65,1.62,4.61,0.2405M
NexGen Energy Ltd.,9.24,0.49,5.59,0.220881M
Pan American Silver Corp.,40.28,1.78,4.64,0.294104M
"Astera Labs, Inc.",213.0,6.79,3.29,0.288339M
"Vaxcyte, Inc.",43.38,-0.32,-0.73,0.018128M
MINISO Group Holding Limited,22.24,0.98,4.61,0.030814M
"Baidu, Inc.",127.36,5.67,4.66,0.460222M
"Super Micro Computer, Inc.",54.75,1.89,3.57,1.7M
BHP Group Limited,55.63,2.01,3.76,0.81331M
Vertiv Holdings Co,174.38,5.25,3.1,0.364663M
Arista Networks Inc,159.86,5.74,3.73,0.399383M
PDD Holdings Inc.,128.76,4.49,3.61,0.567376M
"PepsiCo, Inc.",148.49,-1.59,-1.06,0.229914M
D-Wave Quantum Inc.,34.24,1.24,3.76,1.5M
Skeena Resources Limited,18.85,0.55,3.02,0.020001M
American Bitcoin Corp,6.15,0.2,3.35,0.186084M
"TTM Technologies, Inc.",55.65,2.06,3.85,0.064895M
ABIVAX Société Anonyme,96.71,2.94,3.13,0.038417M
Sunrun Inc.,19.51,0.71,3.77,0.27502M
"Confluent, Inc.",23.25,0.51,2.22,0.269851M
Snap Inc.,8.02,0.24,3.13,1.9M
APA Corporation,22.35,0.41,1.87,0.215016M
Rio Tinto Group,67.36,1.92,2.93,0.281732M
Banco BBVA Argentina S.A.,9.44,0.24,2.61,0.062538M
"Cal-Maine Foods, Inc.",94.3,-0.13,-0.14,0.025221M
Brookfield Infrastructure Corporation,45.53,0.25,0.55,0.009497M
Balchem Corporation,145.21,0.57,0.39,929.0M
"Power Integrations, Inc.",35.71,1.07,3.09,0.040195M
Polibeli Group Ltd,8.51,0.06,0.71,899.0M
MarketAxess Holdings Inc.,179.06,1.66,0.94,0.009063M
